Holiday Name,US,CA,IL,NY,NC,OH,TX
New Year's Day,01/01,01/01,01/01,01/01,01/01,01/01,01/01
MLK Jr. Day,01/19,01/19,01/19,01/19,01/19,01/19,01/19
Lincoln's Birthday,-,-,02/12,02/12,-,-,-
Presidents' Day,02/16,02/16,02/16,02/16,-,02/16,02/16
Texas Independence Day,-,-,-,-,-,-,03/02
Cesar Chavez Day,-,03/31,-,-,-,-,-
Good Friday,-,-,-,-,04/03,-,-
San Jacinto Day,-,-,-,-,-,-,04/21
Memorial Day,05/25,05/25,05/25,05/25,05/25,05/25,05/25
Juneteenth,06/19,-,06/19,06/19,-,06/19,06/19
Independence Day,07/03*,07/03*,07/03*,07/04,07/03*,07/03*,-
Lyndon Baines Johnson Day,-,-,-,-,-,-,08/27
Labor Day,09/07,09/07,09/07,09/07,09/07,09/07,09/07
Columbus Day,10/12,-,10/12,10/12,-,10/12,-
Election Day,-,-,11/03,11/03,-,-,-
Veterans Day,11/11,11/11,11/11,11/11,11/11,11/11,11/11
Thanksgiving Day,11/26,11/26,11/26,11/26,11/26,11/26,11/26
Day After Thanksgiving,-,11/27,11/27,-,11/27,-,11/27
Christmas Eve,-,-,-,-,12/24,-,12/24
Christmas Day,12/25,12/25,12/25,12/25,12/25,12/25,12/25
Day after Christmas,-,-,-,-,12/28*,-,-
