jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"§ 25-19-105, Ark. Code § 25-19-105",Response Timeline,### Standard Timeline (Ark,### Standard Timeline (Ark. Code § 25-19-105),No specific conditions stated,Extracted from Standard Timeline (Ark. Code § 2519105),2025-09-26T13:52:18.286437
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"§ 25-19-105, Ark. Code § 25-19-105",Response Timeline,": ""Promptly"" and no later than 10 business days from receipt",": ""Promptly"" and no later than 10 business days from receipt",No specific conditions stated,Extracted from Standard Timeline (Ark. Code § 2519105),2025-09-26T13:52:18.286443
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"§ 25-19-105, Ark. Code § 25-19-105",Response Timeline,":
  1",":
  1. Provide requested records for inspection or copying
  2. Deny request with written explanation citing specific exemption
  3. Notify requester of delay with reason and estimated completion date","Deny request with written explanation citing specific exemption
  3 Notify requester of delay with reason and estimated completion date",Extracted from Standard Timeline (Ark. Code § 2519105),2025-09-26T13:52:18.286453
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,Special Access,: Requests serving public interest may receive priority,: Requests serving public interest may receive priority,: Requests serving public interest may receive priority,Extracted from Expedited Processing,2025-09-26T13:52:18.286472
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,Special Access,: Some entities may prioritize urgent requests,: Some entities may prioritize urgent requests,: Some entities may prioritize urgent requests,Extracted from Expedited Processing,2025-09-26T13:52:18.286476
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,Special Access,: Immediate response encouraged when records readily available,: Immediate response encouraged when records readily available,: Immediate response encouraged when records readily available,Extracted from Expedited Processing,2025-09-26T13:52:18.286482
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"Ark. Code § 25-19-106, § 25-19-106",Fee Structure,### Allowable Fees (Ark,### Allowable Fees (Ark. Code § 25-19-106),No specific conditions stated,Extracted from Allowable Fees (Ark. Code § 2519106),2025-09-26T13:52:18.286499
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"Ark. Code § 25-19-106, § 25-19-106",Fee Structure,": Fees limited to actual cost of searching, retrieving, and copying",": Fees limited to actual cost of searching, retrieving, and copying",": Fees limited to actual cost of searching, retrieving, and copying",Extracted from Allowable Fees (Ark. Code § 2519106),2025-09-26T13:52:18.286505
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"Ark. Code § 25-19-106, § 25-19-106",Fee Structure,: Staff time spent on request processing,: Staff time spent on request processing,No specific conditions stated,Extracted from Allowable Fees (Ark. Code § 2519106),2025-09-26T13:52:18.286510
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"Ark. Code § 25-19-106, § 25-19-106",Fee Structure,": Paper, electronic media, postage costs",": Paper, electronic media, postage costs",No specific conditions stated,Extracted from Allowable Fees (Ark. Code § 2519106),2025-09-26T13:52:18.286515
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"Ark. Code § 25-19-106, § 25-19-106",Fee Structure,: All fees must be reasonable and documented,: All fees must be reasonable and documented,: All fees must be reasonable and documented,Extracted from Allowable Fees (Ark. Code § 2519106),2025-09-26T13:52:18.286520
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,Fee Structure,: Staff hourly rate for locating records,: Staff hourly rate for locating records,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.286533
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,Fee Structure,: Per-page charges for paper duplication,: Per-page charges for paper duplication,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.286538
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,Fee Structure,": Cost of disks, drives, or other electronic storage",": Cost of disks, drives, or other electronic storage",No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.286543
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,Fee Structure,: Actual cost of mailing records to requester,: Actual cost of mailing records to requester,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.286548
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,Request Process,"### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate publi","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate public body
- Provide sufficient detail to identify records
- Include contact information for response
- Specify preferred format (inspection, paper copies, electronic)","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate public body
- Provide sufficient detail to identify records
- Include contact information for response
- Specify preferred format (inspection, paper copies, electronic)",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.286575
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,Request Process,"**Agency Actions:**
- Date-stamp request upon receipt
- Assign to appropriate custodian
- Begin 10-b","**Agency Actions:**
- Date-stamp request upon receipt
- Assign to appropriate custodian
- Begin 10-business-day countdown
- Acknowledge receipt if agency policy requires","**Agency Actions:**
- Date-stamp request upon receipt
- Assign to appropriate custodian
- Begin 10-business-day countdown
- Acknowledge receipt if agency policy requires",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.286576
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"Ark. Code § 25-19-107, § 25-19-107",Request Process,"### Phase 2: Processing
**Agency Actions:**
- Locate responsive records across departments
- Review ","### Phase 2: Processing
**Agency Actions:**
- Locate responsive records across departments
- Review records for applicable exemptions under Ark. Code § 25-19-107
- Separate public records from exempt records
- Calculate fees for search, retrieval, and copying",No specific conditions stated,Extracted from Phase 2: Processing,2025-09-26T13:52:18.286608
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"Ark. Code § 25-19-107, § 25-19-107",Request Process,"**Timeline Management:**
- Monitor 10-business-day deadline for prompt response
- Provide written no","**Timeline Management:**
- Monitor 10-business-day deadline for prompt response
- Provide written notice if extension needed with reason and timeline
- Communicate with requester about availability and costs","**Timeline Management:**
- Monitor 10-business-day deadline for prompt response
- Provide written notice if extension needed with reason and timeline
- Communicate with requester about availability and costs",Extracted from Phase 2: Processing,2025-09-26T13:52:18.286609
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"Ark. Code § 25-19-107, § 25-19-107",Response Timeline,"### Phase 3: Initial Response
**Agency Must Provide (within 10 business days):**
- Access to public ","### Phase 3: Initial Response
**Agency Must Provide (within 10 business days):**
- Access to public records for inspection
- Copies of records upon payment of fees
- Written denial with specific exemption cited under Ark. Code § 25-19-107
- Written notice of delay with reason and estimated completion date","### Phase 3: Initial Response
**Agency Must Provide (within 10 business days):**
- Access to public records for inspection
- Copies of records upon payment of fees
- Written denial with specific exemption cited under Ark",Extracted from Phase 3: Initial Response,2025-09-26T13:52:18.286631
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"§ 25-19-105, Ark. Code § 25-19-105",Appeal Rights,"### Phase 5: Judicial Enforcement
**Circuit Court Action (Ark","### Phase 5: Judicial Enforcement
**Circuit Court Action (Ark. Code § 25-19-105):**",No specific conditions stated,Extracted from Phase 5: Judicial Enforcement,2025-09-26T13:52:18.286655
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"§ 25-19-105, Ark. Code § 25-19-105",Appeal Rights,: Arkansas circuit court where public body is located,: Arkansas circuit court where public body is located,No specific conditions stated,Extracted from Phase 5: Judicial Enforcement,2025-09-26T13:52:18.286660
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"§ 25-19-105, Ark. Code § 25-19-105",Appeal Rights,: Court may order compliance with FOIA,: Court may order compliance with FOIA,: Court may order compliance with FOIA,Extracted from Phase 5: Judicial Enforcement,2025-09-26T13:52:18.286665
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"§ 25-19-105, Ark. Code § 25-19-105",Appeal Rights,: Review of agency decision and application of exemptions,: Review of agency decision and application of exemptions,No specific conditions stated,Extracted from Phase 5: Judicial Enforcement,2025-09-26T13:52:18.286671
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"§ 25-19-105, Ark. Code § 25-19-105",Appeal Rights,: No specific statutory deadline for filing action,: No specific statutory deadline for filing action,: No specific statutory deadline for filing action,Extracted from Phase 5: Judicial Enforcement,2025-09-26T13:52:18.286676
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"§ 25-19-105, Ark. Code § 25-19-105",Appeal Rights,: Court order requiring disclosure,: Court order requiring disclosure,No specific conditions stated,Extracted from Phase 5: Judicial Enforcement,2025-09-26T13:52:18.286680
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"§ 25-19-105, Ark. Code § 25-19-105",Appeal Rights,: Court may award reasonable fees to prevailing requester,: Court may award reasonable fees to prevailing requester,: Court may award reasonable fees to prevailing requester,Extracted from Phase 5: Judicial Enforcement,2025-09-26T13:52:18.286687
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,"§ 25-19-105, Ark. Code § 25-19-105",Appeal Rights,": Mandatory $1,000 penalty against responsible officials (2025 update)",": Mandatory $1,000 penalty against responsible officials (2025 update)",No specific conditions stated,Extracted from Phase 5: Judicial Enforcement,2025-09-26T13:52:18.286693
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,Fee Structure,"### Excessive Fees
**Problem**: Unreasonable charges for record production
**Workarounds**:
- Challe","### Excessive Fees
**Problem**: Unreasonable charges for record production
**Workarounds**:
- Challenge fees as exceeding actual documented costs
- Request detailed breakdown of all charges
- Seek public interest or hardship fee waiver
- Compare to other agencies' documented fee schedules",No specific conditions stated,Extracted from Excessive Fees,2025-09-26T13:52:18.286719
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,Internal Appeal,Discuss with custodian or agency head,No specific conditions stated,Extracted from Administrative Remedies,2025-09-26T13:52:18.286746
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,Legislative Oversight,Arkansas General Assembly oversight,No specific conditions stated,Extracted from Administrative Remedies,2025-09-26T13:52:18.286747
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,Attorney General,Guidance on FOIA interpretation and compliance,No specific conditions stated,Extracted from Administrative Remedies,2025-09-26T13:52:18.286748
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,Political Pressure,"Contact elected officials, media attention",No specific conditions stated,Extracted from Administrative Remedies,2025-09-26T13:52:18.286749
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,"### **Enhanced Judicial Remedies (2025 Updates)**
**Available Relief:**","### **Enhanced Judicial Remedies (2025 Updates)**
**Available Relief:**",No specific conditions stated,Extracted from Enhanced Judicial Remedies (2025 Updates),2025-09-26T13:52:18.286773
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,: Court order requiring disclosure,: Court order requiring disclosure,No specific conditions stated,Extracted from Enhanced Judicial Remedies (2025 Updates),2025-09-26T13:52:18.286778
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,: Clarification of FOIA obligations,: Clarification of FOIA obligations,: Clarification of FOIA obligations,Extracted from Enhanced Judicial Remedies (2025 Updates),2025-09-26T13:52:18.286785
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,: Recovery of reasonable fees for prevailing requester,: Recovery of reasonable fees for prevailing requester,No specific conditions stated,Extracted from Enhanced Judicial Remedies (2025 Updates),2025-09-26T13:52:18.286793
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,": $1,000 personal penalty against responsible officials",": $1,000 personal penalty against responsible officials",No specific conditions stated,Extracted from Enhanced Judicial Remedies (2025 Updates),2025-09-26T13:52:18.286801
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,: Officials now face personal financial consequences,: Officials now face personal financial consequences,No specific conditions stated,Extracted from Enhanced Judicial Remedies (2025 Updates),2025-09-26T13:52:18.286808
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,: Mandatory penalties significantly increase compliance incentive,: Mandatory penalties significantly increase compliance incentive,: Mandatory penalties significantly increase compliance incentive,Extracted from Enhanced Judicial Remedies (2025 Updates),2025-09-26T13:52:18.286813
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,: Maintain detailed records of violations for penalty assessment,: Maintain detailed records of violations for penalty assessment,No specific conditions stated,Extracted from Enhanced Judicial Remedies (2025 Updates),2025-09-26T13:52:18.286819
Arkansas,US-AR,Arkansas Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,: Emphasize public benefit to strengthen case,: Emphasize public benefit to strengthen case,No specific conditions stated,Extracted from Enhanced Judicial Remedies (2025 Updates),2025-09-26T13:52:18.286824
