jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
Colorado,US-CO,Colorado Open Records Act,Citation not found,§ 24-72-203,Response Timeline,### Standard Response Timeline (CRS § 24-72-203),### Standard Response Timeline (CRS § 24-72-203),No specific conditions stated,Extracted from Standard Response Timeline (CRS § 2472203),2025-09-26T13:52:18.290033
Colorado,US-CO,Colorado Open Records Act,Citation not found,§ 24-72-203,Response Timeline,: Additional reasonable time with written notice,: Additional reasonable time with written notice,No specific conditions stated,Extracted from Standard Response Timeline (CRS § 2472203),2025-09-26T13:52:18.290041
Colorado,US-CO,Colorado Open Records Act,Citation not found,§ 24-72-203,Response Timeline,: Extended timeline with detailed justification,: Extended timeline with detailed justification,: Extended timeline with detailed justification,Extracted from Standard Response Timeline (CRS § 2472203),2025-09-26T13:52:18.290045
Colorado,US-CO,Colorado Open Records Act,Citation not found,§ 24-72-203,Response Timeline,: Must be provided electronically when available,: Must be provided electronically when available,: Must be provided electronically when available,Extracted from Standard Response Timeline (CRS § 2472203),2025-09-26T13:52:18.290049
Colorado,US-CO,Colorado Open Records Act,Citation not found,See statute,Fee Structure,: No charge for initial hour of research and retrieval,: No charge for initial hour of research and retrieval,No specific conditions stated,Extracted from 2024 Fee Structure Updates,2025-09-26T13:52:18.290069
Colorado,US-CO,Colorado Open Records Act,Citation not found,See statute,Fee Structure,: $30 maximum for personnel time,: $30 maximum for personnel time,No specific conditions stated,Extracted from 2024 Fee Structure Updates,2025-09-26T13:52:18.290074
Colorado,US-CO,Colorado Open Records Act,Citation not found,See statute,Fee Structure,: Lower costs for digital production,: Lower costs for digital production,No specific conditions stated,Extracted from 2024 Fee Structure Updates,2025-09-26T13:52:18.290080
Colorado,US-CO,Colorado Open Records Act,Citation not found,See statute,Fee Structure,: Fees cannot be used to discourage requests,: Fees cannot be used to discourage requests,No specific conditions stated,Extracted from 2024 Fee Structure Updates,2025-09-26T13:52:18.290085
Colorado,US-CO,Colorado Open Records Act,Citation not found,See statute,Request Process,"### Phase 1: Request Submission
**Requester Actions:**
- Submit written request (email acceptable)
-","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request (email acceptable)
- Reasonably describe records sought
- Specify preferred format (electronic encouraged)
- Provide contact information for response","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request (email acceptable)
- Reasonably describe records sought
- Specify preferred format (electronic encouraged)
- Provide contact information for response",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.290113
Colorado,US-CO,Colorado Open Records Act,Citation not found,See statute,Request Process,"**Custodian Actions:**
- Date-stamp request upon receipt
- Begin search for responsive records
- Ass","**Custodian Actions:**
- Date-stamp request upon receipt
- Begin search for responsive records
- Assess complexity and estimated fees",No specific conditions stated,Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.290114
Colorado,US-CO,Colorado Open Records Act,Citation not found,See statute,Request Process,"### Phase 2: Processing and Review
**3-Day Processing Period:**
- Locate and review responsive recor","### Phase 2: Processing and Review
**3-Day Processing Period:**
- Locate and review responsive records
- Apply exemptions with specific justification
- Calculate fees according to statutory limitations
- Prepare detailed response","### Phase 2: Processing and Review
**3-Day Processing Period:**
- Locate and review responsive records
- Apply exemptions with specific justification
- Calculate fees according to statutory limitations
- Prepare detailed response",Extracted from Phase 2: Processing and Review,2025-09-26T13:52:18.290135
Colorado,US-CO,Colorado Open Records Act,Citation not found,See statute,Request Process,"**Extension Process:**
- Must notify requester within 3 days if additional time needed
- Provide spe","**Extension Process:**
- Must notify requester within 3 days if additional time needed
- Provide specific reason and estimated completion date
- Cannot use extensions to circumvent access rights","**Extension Process:**
- Must notify requester within 3 days if additional time needed
- Provide specific reason and estimated completion date
- Cannot use extensions to circumvent access rights",Extracted from Phase 2: Processing and Review,2025-09-26T13:52:18.290136
Colorado,US-CO,Colorado Open Records Act,Citation not found,See statute,Request Process,"### Phase 3: 2024 Electronic Records Processing
**Enhanced Digital Requirements:**","### Phase 3: 2024 Electronic Records Processing
**Enhanced Digital Requirements:**",No specific conditions stated,Extracted from Phase 3: 2024 Electronic Records Processing,2025-09-26T13:52:18.290151
Colorado,US-CO,Colorado Open Records Act,Citation not found,See statute,Request Process,: Provide electronic records in original format when possible,: Provide electronic records in original format when possible,: Provide electronic records in original format when possible,Extracted from Phase 3: 2024 Electronic Records Processing,2025-09-26T13:52:18.290157
Colorado,US-CO,Colorado Open Records Act,Citation not found,See statute,Request Process,: Use reasonable electronic search methods,: Use reasonable electronic search methods,No specific conditions stated,Extracted from Phase 3: 2024 Electronic Records Processing,2025-09-26T13:52:18.290162
Colorado,US-CO,Colorado Open Records Act,Citation not found,See statute,Request Process,: Include relevant metadata unless specifically excluded,: Include relevant metadata unless specifically excluded,: Include relevant metadata unless specifically excluded,Extracted from Phase 3: 2024 Electronic Records Processing,2025-09-26T13:52:18.290167
Colorado,US-CO,Colorado Open Records Act,Citation not found,See statute,Request Process,: Follow new timeline and privacy provisions,: Follow new timeline and privacy provisions,No specific conditions stated,Extracted from Phase 3: 2024 Electronic Records Processing,2025-09-26T13:52:18.290173
Colorado,US-CO,Colorado Open Records Act,Citation not found,See statute,Appeal Rights,"### Phase 5: Appeal and Enforcement
**No Administrative Appeal Process:**
- Direct to district court","### Phase 5: Appeal and Enforcement
**No Administrative Appeal Process:**
- Direct to district court for judicial review
- Mandamus action to compel disclosure
- Burden on custodian to justify withholding","### Phase 5: Appeal and Enforcement
**No Administrative Appeal Process:**
- Direct to district court for judicial review
- Mandamus action to compel disclosure
- Burden on custodian to justify withholding",Extracted from Phase 5: Appeal and Enforcement,2025-09-26T13:52:18.290187
Colorado,US-CO,Colorado Open Records Act,Citation not found,§ 24-72-204,Fee Structure,"### Attorney Fees (CRS § 24-72-204)
**Entitlement Standards:**
- Requester substantially prevailed
-","### Attorney Fees (CRS § 24-72-204)
**Entitlement Standards:**
- Requester substantially prevailed
- Litigation was necessary to obtain records
- Custodian's denial was not substantially justified","### Attorney Fees (CRS § 24-72-204)
**Entitlement Standards:**
- Requester substantially prevailed
- Litigation was necessary to obtain records
- Custodian's denial was not substantially justified",Extracted from Attorney Fees (CRS § 2472204),2025-09-26T13:52:18.290217
Colorado,US-CO,Colorado Open Records Act,Citation not found,§ 24-72-204,Fee Structure,"**Fee Calculation:**
- Reasonable hourly rates for qualified counsel
- Hours reasonably expended on ","**Fee Calculation:**
- Reasonable hourly rates for qualified counsel
- Hours reasonably expended on case
- Costs and expenses incurred
- Strong incentive for custodian compliance","**Fee Calculation:**
- Reasonable hourly rates for qualified counsel
- Hours reasonably expended on case
- Costs and expenses incurred
- Strong incentive for custodian compliance",Extracted from Attorney Fees (CRS § 2472204),2025-09-26T13:52:18.290218
