jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,§ 2-533,Response Timeline,### Standard Timeline (DC Code § 2-533),### Standard Timeline (DC Code § 2-533),No specific conditions stated,Extracted from Standard Timeline (DC Code § 2533),2025-09-26T13:52:18.293750
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,§ 2-533,Response Timeline,: 15 business days from receipt of request,: 15 business days from receipt of request,No specific conditions stated,Extracted from Standard Timeline (DC Code § 2533),2025-09-26T13:52:18.293756
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,§ 2-533,Response Timeline,: Agency must provide determination on compliance within 15 days,: Agency must provide determination on compliance within 15 days,: Agency must provide determination on compliance within 15 days,Extracted from Standard Timeline (DC Code § 2533),2025-09-26T13:52:18.293763
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,§ 2-533,Response Timeline,":
  1",":
  1. Provide requested records for inspection or copying
  2. Deny request with written explanation citing specific exemption
  3. Provide partial records with explanation for any withholding","Deny request with written explanation citing specific exemption
  3",Extracted from Standard Timeline (DC Code § 2533),2025-09-26T13:52:18.293773
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,Special Access,: No formal expedited process in DC FOIA,: No formal expedited process in DC FOIA,No specific conditions stated,Extracted from Expedited Processing,2025-09-26T13:52:18.293790
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,Special Access,: Some entities may prioritize urgent requests,: Some entities may prioritize urgent requests,: Some entities may prioritize urgent requests,Extracted from Expedited Processing,2025-09-26T13:52:18.293795
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,Special Access,: Immediate response encouraged when records readily available,: Immediate response encouraged when records readily available,: Immediate response encouraged when records readily available,Extracted from Expedited Processing,2025-09-26T13:52:18.293801
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,Fee Structure,: Staff time for locating records,: Staff time for locating records,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.293817
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,Fee Structure,: Time spent examining records for exemptions,: Time spent examining records for exemptions,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.293821
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,Fee Structure,: Actual cost of copying records,: Actual cost of copying records,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.293826
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,Fee Structure,: All fees must reflect actual costs incurred,: All fees must reflect actual costs incurred,: All fees must reflect actual costs incurred,Extracted from Fee Schedule Components,2025-09-26T13:52:18.293831
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,Request Process,"### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate DC ag","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate DC agency
- Provide sufficient detail to identify records
- Include contact information for response
- Specify preferred format and request fee waiver if applicable","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate DC agency
- Provide sufficient detail to identify records
- Include contact information for response
- Specify preferred format and request fee waiver if applicable",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.293860
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,See statute,Request Process,"**Agency Actions:**
- Date-stamp request upon receipt
- Assign to appropriate custodian
- Begin 15-b","**Agency Actions:**
- Date-stamp request upon receipt
- Assign to appropriate custodian
- Begin 15-business-day countdown
- Acknowledge receipt and provide tracking number",No specific conditions stated,Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.293861
DC,US-DC,District of Columbia Freedom of Information Act (FOIA),Citation not found,§ 2-534,Request Process,"### Phase 2: Processing
**Agency Actions:**
- Locate responsive records across departments
- Review ","### Phase 2: Processing
**Agency Actions:**
- Locate responsive records across departments
- Review records for applicable exemptions under DC Code § 2-534
- Determine appropriate fee category based on requester status
- Calculate fees for search, review, and duplication as applicable",No specific conditions stated,Extracted from Phase 2: Processing,2025-09-26T13:52:18.293893
