jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
Delaware,US-DE,Delaware Freedom of Information Act (FOIA),Citation not found,§ 10003,Response Timeline,### Standard Timeline (Del,"### Standard Timeline (Del. Code tit. 29, § 10003)",No specific conditions stated,"Extracted from Standard Timeline (Del. Code tit. 29, § 10003)",2025-09-26T13:52:18.295355
Delaware,US-DE,Delaware Freedom of Information Act (FOIA),Citation not found,§ 10003,Response Timeline,: 15 business days from receipt of request,: 15 business days from receipt of request,No specific conditions stated,"Extracted from Standard Timeline (Del. Code tit. 29, § 10003)",2025-09-26T13:52:18.295361
Delaware,US-DE,Delaware Freedom of Information Act (FOIA),Citation not found,§ 10003,Response Timeline,":
  1",":
  1. Provide requested records for inspection or copying
  2. Deny request with written explanation citing specific exemption
  3. Provide partial records with explanation for any withholding","Deny request with written explanation citing specific exemption
  3","Extracted from Standard Timeline (Del. Code tit. 29, § 10003)",2025-09-26T13:52:18.295371
Delaware,US-DE,Delaware Freedom of Information Act (FOIA),Citation not found,§ 10006,Fee Structure,### Allowable Fees (Del,"### Allowable Fees (Del. Code tit. 29, § 10006)",No specific conditions stated,"Extracted from Allowable Fees (Del. Code tit. 29, § 10006)",2025-09-26T13:52:18.295390
Delaware,US-DE,Delaware Freedom of Information Act (FOIA),Citation not found,§ 10006,Fee Structure,: Fees limited to reasonable costs of copying and staff time,: Fees limited to reasonable costs of copying and staff time,: Fees limited to reasonable costs of copying and staff time,"Extracted from Allowable Fees (Del. Code tit. 29, § 10006)",2025-09-26T13:52:18.295395
Delaware,US-DE,Delaware Freedom of Information Act (FOIA),Citation not found,§ 10006,Fee Structure,: Direct costs of duplication and preparation,: Direct costs of duplication and preparation,No specific conditions stated,"Extracted from Allowable Fees (Del. Code tit. 29, § 10006)",2025-09-26T13:52:18.295400
Delaware,US-DE,Delaware Freedom of Information Act (FOIA),Citation not found,§ 10006,Fee Structure,: Reasonable charges for locating and preparing records,: Reasonable charges for locating and preparing records,No specific conditions stated,"Extracted from Allowable Fees (Del. Code tit. 29, § 10006)",2025-09-26T13:52:18.295405
Delaware,US-DE,Delaware Freedom of Information Act (FOIA),Citation not found,§ 10006,Fee Structure,": Paper, electronic media, postage costs",": Paper, electronic media, postage costs",No specific conditions stated,"Extracted from Allowable Fees (Del. Code tit. 29, § 10006)",2025-09-26T13:52:18.295410
Delaware,US-DE,Delaware Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,Internal Appeal,Agency head review,No specific conditions stated,Extracted from Administrative Remedies,2025-09-26T13:52:18.295434
Delaware,US-DE,Delaware Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,Legislative Oversight,Delaware General Assembly oversight,No specific conditions stated,Extracted from Administrative Remedies,2025-09-26T13:52:18.295435
Delaware,US-DE,Delaware Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,Political Pressure,Contact elected officials,No specific conditions stated,Extracted from Administrative Remedies,2025-09-26T13:52:18.295435
Delaware,US-DE,Delaware Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,: Mandamus and injunctive relief,: Mandamus and injunctive relief,No specific conditions stated,Extracted from Judicial Remedies,2025-09-26T13:52:18.295448
Delaware,US-DE,Delaware Freedom of Information Act (FOIA),Citation not found,See statute,General Rights,: Potential recovery for successful enforcement,: Potential recovery for successful enforcement,No specific conditions stated,Extracted from Judicial Remedies,2025-09-26T13:52:18.295453
