jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
Georgia,US-GA,Georgia Open Records Act,Citation not found,§ 50-18-71(b),Response Timeline,### Standard Response Timeline (O.C.G.A,### Standard Response Timeline (O.C.G.A. § 50-18-71(b)),No specific conditions stated,Extracted from Standard Response Timeline (O.C.G.A. § 501871(b)),2025-09-26T13:52:18.297559
Georgia,US-GA,Georgia Open Records Act,Citation not found,§ 50-18-71(b),Response Timeline,": ""Promptly"" - interpreted as 3 business days",": ""Promptly"" - interpreted as 3 business days",No specific conditions stated,Extracted from Standard Response Timeline (O.C.G.A. § 501871(b)),2025-09-26T13:52:18.297566
Georgia,US-GA,Georgia Open Records Act,Citation not found,§ 50-18-71(b),Response Timeline,": Statute uses ""reasonable time"" standard",": Statute uses ""reasonable time"" standard",No specific conditions stated,Extracted from Standard Response Timeline (O.C.G.A. § 501871(b)),2025-09-26T13:52:18.297571
Georgia,US-GA,Georgia Open Records Act,Citation not found,§ 50-18-71(b),Response Timeline,": Immediate inspection, reasonable time for copies",": Immediate inspection, reasonable time for copies",No specific conditions stated,Extracted from Standard Response Timeline (O.C.G.A. § 501871(b)),2025-09-26T13:52:18.297577
Georgia,US-GA,Georgia Open Records Act,Citation not found,§ 50-18-71(b),Response Timeline,: Extended time allowable with justification,: Extended time allowable with justification,: Extended time allowable with justification,Extracted from Standard Response Timeline (O.C.G.A. § 501871(b)),2025-09-26T13:52:18.297582
Georgia,US-GA,Georgia Open Records Act,Citation not found,See statute,Request Process,"### Phase 1: Request Submission
**Requester Actions:**
- Submit written request (oral requests accep","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request (oral requests acceptable for inspection)
- Reasonably describe records sought
- Specify preferred format if applicable
- Provide contact information for response","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request (oral requests acceptable for inspection)
- Reasonably describe records sought
- Specify preferred format if applicable
- Provide contact information for response",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.297615
Georgia,US-GA,Georgia Open Records Act,Citation not found,See statute,Request Process,"**Agency Actions:**
- Acknowledge receipt (best practice)
- Forward to designated records custodian
","**Agency Actions:**
- Acknowledge receipt (best practice)
- Forward to designated records custodian
- Begin initial assessment of request scope",No specific conditions stated,Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.297616
Georgia,US-GA,Georgia Open Records Act,Citation not found,See statute,Request Process,"### Phase 2: Processing and Review
**Custodian Responsibilities:**
- Locate responsive records promp","### Phase 2: Processing and Review
**Custodian Responsibilities:**
- Locate responsive records promptly
- Review for applicable exemptions
- Consult with legal counsel if needed
- Prepare fee estimate if over $25","### Phase 2: Processing and Review
**Custodian Responsibilities:**
- Locate responsive records promptly
- Review for applicable exemptions
- Consult with legal counsel if needed
- Prepare fee estimate if over $25",Extracted from Phase 2: Processing and Review,2025-09-26T13:52:18.297637
Georgia,US-GA,Georgia Open Records Act,Citation not found,See statute,Request Process,"**""Prompt"" Response Standard:**
- Typically interpreted as 3 business days
- Longer time allowable f","**""Prompt"" Response Standard:**
- Typically interpreted as 3 business days
- Longer time allowable for complex requests
- Must communicate status to requester","**""Prompt"" Response Standard:**
- Typically interpreted as 3 business days
- Longer time allowable for complex requests
- Must communicate status to requester",Extracted from Phase 2: Processing and Review,2025-09-26T13:52:18.297637
Georgia,US-GA,Georgia Open Records Act,Citation not found,See statute,General Rights,"### Phase 3: Production or Denial
**Record Release:**
- Provide for inspection immediately if possib","### Phase 3: Production or Denial
**Record Release:**
- Provide for inspection immediately if possible
- Copies within reasonable time after payment
- Electronic format when requested and available
- Redactions clearly marked with exemption citations","### Phase 3: Production or Denial
**Record Release:**
- Provide for inspection immediately if possible
- Copies within reasonable time after payment
- Electronic format when requested and available
- Redactions clearly marked with exemption citations",Extracted from Phase 3: Production or Denial,2025-09-26T13:52:18.297658
