jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
Illinois,US-IL,Illinois Freedom of Information Act,Citation not found,See statute,Response Timeline,### Standard Response Timeline (5 ILCS 140/3(d)),### Standard Response Timeline (5 ILCS 140/3(d)),No specific conditions stated,Extracted from Standard Response Timeline (5 ILCS 140/3(d)),2025-09-26T13:52:18.302476
Illinois,US-IL,Illinois Freedom of Information Act,Citation not found,See statute,Response Timeline,: Additional 5 business days for complex requests,: Additional 5 business days for complex requests,No specific conditions stated,Extracted from Standard Response Timeline (5 ILCS 140/3(d)),2025-09-26T13:52:18.302483
Illinois,US-IL,Illinois Freedom of Information Act,Citation not found,See statute,Response Timeline,: Extended timeline negotiable with requester,: Extended timeline negotiable with requester,No specific conditions stated,Extracted from Standard Response Timeline (5 ILCS 140/3(d)),2025-09-26T13:52:18.302489
Illinois,US-IL,Illinois Freedom of Information Act,Citation not found,See statute,Fee Structure,### Allowable Fees (5 ILCS 140/6),### Allowable Fees (5 ILCS 140/6),No specific conditions stated,Extracted from Allowable Fees (5 ILCS 140/6),2025-09-26T13:52:18.302506
Illinois,US-IL,Illinois Freedom of Information Act,Citation not found,See statute,Fee Structure,: $0.10 per page for 8.5x11 or 8.5x14 paper,: $0.10 per page for 8.5x11 or 8.5x14 paper,No specific conditions stated,Extracted from Allowable Fees (5 ILCS 140/6),2025-09-26T13:52:18.302512
Illinois,US-IL,Illinois Freedom of Information Act,Citation not found,See statute,Fee Structure,: Actual cost of storage medium,: Actual cost of storage medium,No specific conditions stated,Extracted from Allowable Fees (5 ILCS 140/6),2025-09-26T13:52:18.302517
Illinois,US-IL,Illinois Freedom of Information Act,Citation not found,See statute,Fee Structure,: Additional reasonable certification fee,: Additional reasonable certification fee,: Additional reasonable certification fee,Extracted from Allowable Fees (5 ILCS 140/6),2025-09-26T13:52:18.302521
Illinois,US-IL,Illinois Freedom of Information Act,Citation not found,See statute,Fee Structure,: Only for requests requiring more than 8 hours of work,: Only for requests requiring more than 8 hours of work,: Only for requests requiring more than 8 hours of work,Extracted from Allowable Fees (5 ILCS 140/6),2025-09-26T13:52:18.302526
Illinois,US-IL,Illinois Freedom of Information Act,Citation not found,See statute,Request Process,"### Phase 1: Request Submission
**Requester Actions:**
- Submit written request (email acceptable)
-","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request (email acceptable)
- Reasonably describe records sought
- Specify preferred format if applicable
- Request fee waiver if appropriate","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request (email acceptable)
- Reasonably describe records sought
- Specify preferred format if applicable
- Request fee waiver if appropriate",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.302557
Illinois,US-IL,Illinois Freedom of Information Act,Citation not found,See statute,Request Process,"**Public Body Actions:**
- Date-stamp request upon receipt
- Forward to designated FOIA officer
- Be","**Public Body Actions:**
- Date-stamp request upon receipt
- Forward to designated FOIA officer
- Begin initial assessment of scope",No specific conditions stated,Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.302558
