jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
Indiana,US-IN,Indiana Access to Public Records Act (APRA),Citation not found,See statute,Appeal Rights,### **2025 Enforcement Activity**,### **2025 Enforcement Activity**,No specific conditions stated,Extracted from 2025 Enforcement Activity,2025-09-26T13:52:18.303485
Indiana,US-IN,Indiana Access to Public Records Act (APRA),Citation not found,See statute,Appeal Rights,: Recent cases against agencies for delayed or denied responses,: Recent cases against agencies for delayed or denied responses,No specific conditions stated,Extracted from 2025 Enforcement Activity,2025-09-26T13:52:18.303492
Indiana,US-IN,Indiana Access to Public Records Act (APRA),Citation not found,See statute,Appeal Rights,: 2025 lawsuits highlighting importance of timely compliance,: 2025 lawsuits highlighting importance of timely compliance,No specific conditions stated,Extracted from 2025 Enforcement Activity,2025-09-26T13:52:18.303498
Indiana,US-IN,Indiana Access to Public Records Act (APRA),Citation not found,See statute,Appeal Rights,: Enhanced judicial scrutiny of agency compliance,: Enhanced judicial scrutiny of agency compliance,No specific conditions stated,Extracted from 2025 Enforcement Activity,2025-09-26T13:52:18.303504
Indiana,US-IN,Indiana Access to Public Records Act (APRA),Citation not found,See statute,Appeal Rights,### **2025 Enforcement Considerations**,### **2025 Enforcement Considerations**,No specific conditions stated,Extracted from 2025 Enforcement Considerations,2025-09-26T13:52:18.303522
Indiana,US-IN,Indiana Access to Public Records Act (APRA),Citation not found,See statute,Appeal Rights,: Recent litigation emphasizing importance of timely response,: Recent litigation emphasizing importance of timely response,No specific conditions stated,Extracted from 2025 Enforcement Considerations,2025-09-26T13:52:18.303530
Indiana,US-IN,Indiana Access to Public Records Act (APRA),Citation not found,See statute,Appeal Rights,: Enhanced judicial review of agency timeline compliance,: Enhanced judicial review of agency timeline compliance,No specific conditions stated,Extracted from 2025 Enforcement Considerations,2025-09-26T13:52:18.303535
Indiana,US-IN,Indiana Access to Public Records Act (APRA),Citation not found,See statute,Appeal Rights,: Agencies adopting shorter response times to avoid litigation,: Agencies adopting shorter response times to avoid litigation,No specific conditions stated,Extracted from 2025 Enforcement Considerations,2025-09-26T13:52:18.303540
Indiana,US-IN,Indiana Access to Public Records Act (APRA),Citation not found,See statute,Fee Structure,### Allowable Fees (IC 5-14-3-8),### Allowable Fees (IC 5-14-3-8),No specific conditions stated,Extracted from Allowable Fees (IC 51438),2025-09-26T13:52:18.303555
Indiana,US-IN,Indiana Access to Public Records Act (APRA),Citation not found,See statute,Fee Structure,: Fees limited to reasonable costs of copying and processing,: Fees limited to reasonable costs of copying and processing,: Fees limited to reasonable costs of copying and processing,Extracted from Allowable Fees (IC 51438),2025-09-26T13:52:18.303560
Indiana,US-IN,Indiana Access to Public Records Act (APRA),Citation not found,See statute,Fee Structure,: Based on actual costs incurred by agency,: Based on actual costs incurred by agency,No specific conditions stated,Extracted from Allowable Fees (IC 51438),2025-09-26T13:52:18.303565
Indiana,US-IN,Indiana Access to Public Records Act (APRA),Citation not found,See statute,Fee Structure,: Requester should be informed of fees before records provided,: Requester should be informed of fees before records provided,No specific conditions stated,Extracted from Allowable Fees (IC 51438),2025-09-26T13:52:18.303570
Indiana,US-IN,Indiana Access to Public Records Act (APRA),Citation not found,See statute,Fee Structure,: Direct costs of duplication and staff time,: Direct costs of duplication and staff time,No specific conditions stated,Extracted from Allowable Fees (IC 51438),2025-09-26T13:52:18.303575
Indiana,US-IN,Indiana Access to Public Records Act (APRA),Citation not found,See statute,Fee Structure,: Per-page charges for paper duplication,: Per-page charges for paper duplication,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.303588
Indiana,US-IN,Indiana Access to Public Records Act (APRA),Citation not found,See statute,Fee Structure,": Cost of disks, drives, or other electronic storage",": Cost of disks, drives, or other electronic storage",No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.303593
Indiana,US-IN,Indiana Access to Public Records Act (APRA),Citation not found,See statute,Fee Structure,: Reasonable charges for locating and preparing records,: Reasonable charges for locating and preparing records,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.303598
Indiana,US-IN,Indiana Access to Public Records Act (APRA),Citation not found,See statute,Fee Structure,: Actual cost of mailing records to requester,: Actual cost of mailing records to requester,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.303603
Indiana,US-IN,Indiana Access to Public Records Act (APRA),Citation not found,See statute,Request Process,"### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate publi","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate public agency
- Provide sufficient detail to identify records
- Include contact information for response
- Specify preferred format (inspection, paper copies, electronic)","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate public agency
- Provide sufficient detail to identify records
- Include contact information for response
- Specify preferred format (inspection, paper copies, electronic)",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.303632
