jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
Iowa,US-IA,Iowa Open Records Law,Citation not found,See statute,Appeal Rights,Iowa Public Information Board (IPIB),Iowa Public Information Board (IPIB),No specific conditions stated,Extracted from Enforcement and Oversight,2025-09-26T13:52:18.305485
Iowa,US-IA,Iowa Open Records Law,Citation not found,See statute,Appeal Rights,: Independent oversight and enforcement authority,: Independent oversight and enforcement authority,No specific conditions stated,Extracted from Enforcement and Oversight,2025-09-26T13:52:18.305491
Iowa,US-IA,Iowa Open Records Law,Citation not found,See statute,Appeal Rights,": Investigate complaints, issue binding orders, assess penalties",": Investigate complaints, issue binding orders, assess penalties",No specific conditions stated,Extracted from Enforcement and Oversight,2025-09-26T13:52:18.305496
Iowa,US-IA,Iowa Open Records Law,Citation not found,See statute,Appeal Rights,: Guidance on law interpretation and best practices,: Guidance on law interpretation and best practices,No specific conditions stated,Extracted from Enforcement and Oversight,2025-09-26T13:52:18.305501
Iowa,US-IA,Iowa Open Records Law,Citation not found,See statute,Appeal Rights,: Required education for government officials,: Required education for government officials,No specific conditions stated,Extracted from Enforcement and Oversight,2025-09-26T13:52:18.305506
Iowa,US-IA,Iowa Open Records Law,Citation not found,§ 22,Fee Structure,### Allowable Fees (Iowa Code § 22.3),### Allowable Fees (Iowa Code § 22.3),No specific conditions stated,Extracted from Allowable Fees (Iowa Code § 22.3),2025-09-26T13:52:18.305529
Iowa,US-IA,Iowa Open Records Law,Citation not found,§ 22,Fee Structure,": Limited to actual cost of searching, examining, and copying",": Limited to actual cost of searching, examining, and copying",": Limited to actual cost of searching, examining, and copying",Extracted from Allowable Fees (Iowa Code § 22.3),2025-09-26T13:52:18.305534
Iowa,US-IA,Iowa Open Records Law,Citation not found,§ 22,Fee Structure,: Fees must be reasonable and not excessive,: Fees must be reasonable and not excessive,: Fees must be reasonable and not excessive,Extracted from Allowable Fees (Iowa Code § 22.3),2025-09-26T13:52:18.305538
Iowa,US-IA,Iowa Open Records Law,Citation not found,§ 22,Fee Structure,: May charge for staff time locating records,: May charge for staff time locating records,: May charge for staff time locating records,Extracted from Allowable Fees (Iowa Code § 22.3),2025-09-26T13:52:18.305542
Iowa,US-IA,Iowa Open Records Law,Citation not found,§ 22,Fee Structure,: May charge for time reviewing records for exemptions,: May charge for time reviewing records for exemptions,: May charge for time reviewing records for exemptions,Extracted from Allowable Fees (Iowa Code § 22.3),2025-09-26T13:52:18.305546
