jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Response Timeline,: Simple requests expected faster response,: Simple requests expected faster response,No specific conditions stated,Extracted from Factors Affecting Timeline,2025-09-26T13:52:18.310616
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Response Timeline,: Large requests may require additional time,: Large requests may require additional time,: Large requests may require additional time,Extracted from Factors Affecting Timeline,2025-09-26T13:52:18.310621
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Response Timeline,: Staffing and workload considerations,: Staffing and workload considerations,No specific conditions stated,Extracted from Factors Affecting Timeline,2025-09-26T13:52:18.310626
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Response Timeline,: Time needed to locate records across departments,: Time needed to locate records across departments,No specific conditions stated,Extracted from Factors Affecting Timeline,2025-09-26T13:52:18.310631
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Fee Structure,### Allowable Fees (LSA-R.S,### Allowable Fees (LSA-R.S. 44:32),No specific conditions stated,Extracted from Allowable Fees (LSAR.S. 44:32),2025-09-26T13:52:18.310647
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Fee Structure,: Reasonable charges for retrieving and compiling records,: Reasonable charges for retrieving and compiling records,No specific conditions stated,Extracted from Allowable Fees (LSAR.S. 44:32),2025-09-26T13:52:18.310654
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Fee Structure,": Paper, electronic media, postage costs",": Paper, electronic media, postage costs",No specific conditions stated,Extracted from Allowable Fees (LSAR.S. 44:32),2025-09-26T13:52:18.310659
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Fee Structure,: All fees must be reasonable and actual,: All fees must be reasonable and actual,: All fees must be reasonable and actual,Extracted from Allowable Fees (LSAR.S. 44:32),2025-09-26T13:52:18.310664
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Fee Structure,: Staff time for locating and preparing records,: Staff time for locating and preparing records,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.310678
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Fee Structure,": Cost of disks, drives, or other storage",": Cost of disks, drives, or other storage",No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.310683
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Fee Structure,: Actual postage costs for sending records,: Actual postage costs for sending records,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.310688
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Request Process,"### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate publi","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate public body
- Provide sufficient detail to identify records
- Include contact information for response
- Specify preferred format (inspection, copies, electronic)","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate public body
- Provide sufficient detail to identify records
- Include contact information for response
- Specify preferred format (inspection, copies, electronic)",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.310716
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Request Process,"**Agency Actions:**
- Date-stamp request upon receipt
- Assign to appropriate custodian
- Begin prom","**Agency Actions:**
- Date-stamp request upon receipt
- Assign to appropriate custodian
- Begin prompt response assessment
- Make records available during regular office hours",No specific conditions stated,Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.310717
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Request Process,"### Phase 2: Processing
**Agency Actions:**
- Locate responsive records across departments
- Review ","### Phase 2: Processing
**Agency Actions:**
- Locate responsive records across departments
- Review records for applicable exemptions under LSA-R.S. 44:3-30
- Separate public records from exempt records
- Calculate reasonable fees for copying and labor",No specific conditions stated,Extracted from Phase 2: Processing,2025-09-26T13:52:18.310744
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Request Process,"**Timeline Management:**
- Assess complexity and determine reasonable response time
- Communicate wi","**Timeline Management:**
- Assess complexity and determine reasonable response time
- Communicate with requester about expected timeline
- Provide regular updates on processing status",No specific conditions stated,Extracted from Phase 2: Processing,2025-09-26T13:52:18.310745
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Response Timeline,"### Phase 3: Response
**Agency Must Provide:**
- Access to public records during regular office hour","### Phase 3: Response
**Agency Must Provide:**
- Access to public records during regular office hours
- Copies of records upon payment of reasonable fees
- Written denial with specific exemption cited
- Clear explanation for any delays or partial responses","### Phase 3: Response
**Agency Must Provide:**
- Access to public records during regular office hours
- Copies of records upon payment of reasonable fees
- Written denial with specific exemption cited
- Clear explanation for any delays or partial responses",Extracted from Phase 3: Response,2025-09-26T13:52:18.310758
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Appeal Rights,"### Phase 5: Legal Enforcement
**District Court Action:**","### Phase 5: Legal Enforcement
**District Court Action:**",No specific conditions stated,Extracted from Phase 5: Legal Enforcement,2025-09-26T13:52:18.310772
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Appeal Rights,: Louisiana district court where public body located,: Louisiana district court where public body located,No specific conditions stated,Extracted from Phase 5: Legal Enforcement,2025-09-26T13:52:18.310778
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Appeal Rights,: Court may order compliance with Public Records Act,: Court may order compliance with Public Records Act,: Court may order compliance with Public Records Act,Extracted from Phase 5: Legal Enforcement,2025-09-26T13:52:18.310783
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Appeal Rights,": Mandamus, injunctive relief, potential attorney fees",": Mandamus, injunctive relief, potential attorney fees",No specific conditions stated,Extracted from Phase 5: Legal Enforcement,2025-09-26T13:52:18.310788
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Appeal Rights,: Review of agency compliance with prompt response requirement,: Review of agency compliance with prompt response requirement,No specific conditions stated,Extracted from Phase 5: Legal Enforcement,2025-09-26T13:52:18.310794
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Fee Structure,"### Excessive Fees
**Problem**: Unreasonable charges for record production
**Workarounds**:
- Challe","### Excessive Fees
**Problem**: Unreasonable charges for record production
**Workarounds**:
- Challenge fees as exceeding actual costs
- Request detailed breakdown of all charges
- Reference reasonableness standard in statute
- Seek fee waiver based on public interest or media status",No specific conditions stated,Extracted from Excessive Fees,2025-09-26T13:52:18.310817
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,General Rights,Internal Appeal,Discuss with custodian or agency head,No specific conditions stated,Extracted from Administrative Remedies,2025-09-26T13:52:18.310842
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,General Rights,Legislative Oversight,Louisiana Legislature oversight of compliance,No specific conditions stated,Extracted from Administrative Remedies,2025-09-26T13:52:18.310843
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,General Rights,Political Pressure,"Contact elected officials, media attention",No specific conditions stated,Extracted from Administrative Remedies,2025-09-26T13:52:18.310844
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,General Rights,Attorney General,Limited guidance role,No specific conditions stated,Extracted from Administrative Remedies,2025-09-26T13:52:18.310845
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,General Rights,"### Judicial Remedies
**Available Relief:**","### Judicial Remedies
**Available Relief:**",No specific conditions stated,Extracted from Judicial Remedies,2025-09-26T13:52:18.310861
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,General Rights,: Court order requiring disclosure,: Court order requiring disclosure,No specific conditions stated,Extracted from Judicial Remedies,2025-09-26T13:52:18.310866
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,General Rights,: Clarification of prompt response requirements,: Clarification of prompt response requirements,: Clarification of prompt response requirements,Extracted from Judicial Remedies,2025-09-26T13:52:18.310873
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,General Rights,: Potential recovery for successful enforcement,: Potential recovery for successful enforcement,No specific conditions stated,Extracted from Judicial Remedies,2025-09-26T13:52:18.310889
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,General Rights,"**Strategic Considerations:**
- Document pattern of non-compliance with prompt response requirement
","**Strategic Considerations:**
- Document pattern of non-compliance with prompt response requirement
- Preserve evidence of public interest in disclosure
- Consider media attention to pressure compliance
- Maintain detailed records of agency interactions",No specific conditions stated,Extracted from Judicial Remedies,2025-09-26T13:52:18.310890
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Appeal Rights,: Enhanced focus on timely agency response,: Enhanced focus on timely agency response,No specific conditions stated,Extracted from Enforcement Trends,2025-09-26T13:52:18.310907
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Appeal Rights,: Increased scrutiny of agency charges,: Increased scrutiny of agency charges,No specific conditions stated,Extracted from Enforcement Trends,2025-09-26T13:52:18.310912
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Appeal Rights,: Growing emphasis on accessibility during office hours,: Growing emphasis on accessibility during office hours,No specific conditions stated,Extracted from Enforcement Trends,2025-09-26T13:52:18.310917
Louisiana,US-LA,Louisiana Public Records Act,Citation not found,See statute,Appeal Rights,: Judicial recognition of transparency importance,: Judicial recognition of transparency importance,No specific conditions stated,Extracted from Enforcement Trends,2025-09-26T13:52:18.310922
