jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,§ 10-614,Response Timeline,### Standard Timeline (SG § 10-614),### Standard Timeline (SG § 10-614),No specific conditions stated,Extracted from Standard Timeline (SG § 10614),2025-09-26T13:52:18.314233
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,§ 10-614,Response Timeline,: 30 calendar days from receipt of request,: 30 calendar days from receipt of request,No specific conditions stated,Extracted from Standard Timeline (SG § 10614),2025-09-26T13:52:18.314242
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,§ 10-614,Response Timeline,":
  1",":
  1. Provide requested records
  2. Deny request with written explanation citing specific exemption
  3. Provide written explanation for delay with estimated completion date","Deny request with written explanation citing specific exemption
  3",Extracted from Standard Timeline (SG § 10614),2025-09-26T13:52:18.314254
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,See statute,Special Access,: No formal expedited process in MPIA,: No formal expedited process in MPIA,No specific conditions stated,Extracted from Expedited Processing,2025-09-26T13:52:18.314274
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,See statute,Special Access,: Some entities may prioritize urgent requests,: Some entities may prioritize urgent requests,: Some entities may prioritize urgent requests,Extracted from Expedited Processing,2025-09-26T13:52:18.314279
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,See statute,Special Access,: Agencies encouraged to provide immediate access when feasible,: Agencies encouraged to provide immediate access when feasible,: Agencies encouraged to provide immediate access when feasible,Extracted from Expedited Processing,2025-09-26T13:52:18.314285
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,§ 10-621,Fee Structure,### Allowable Fees (SG § 10-621),### Allowable Fees (SG § 10-621),No specific conditions stated,Extracted from Allowable Fees (SG § 10621),2025-09-26T13:52:18.314302
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,§ 10-621,Fee Structure,": Fees limited to reasonable costs of searching, reviewing, and copying",": Fees limited to reasonable costs of searching, reviewing, and copying",": Fees limited to reasonable costs of searching, reviewing, and copying",Extracted from Allowable Fees (SG § 10621),2025-09-26T13:52:18.314307
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,§ 10-621,Fee Structure,: All fees must be disclosed upfront before processing,: All fees must be disclosed upfront before processing,: All fees must be disclosed upfront before processing,Extracted from Allowable Fees (SG § 10621),2025-09-26T13:52:18.314312
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,§ 10-621,Fee Structure,": Charges for locating, reviewing, and preparing records",": Charges for locating, reviewing, and preparing records",No specific conditions stated,Extracted from Allowable Fees (SG § 10621),2025-09-26T13:52:18.314317
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,§ 10-621,Fee Structure,": Cost of duplication, electronic media, postage",": Cost of duplication, electronic media, postage",No specific conditions stated,Extracted from Allowable Fees (SG § 10621),2025-09-26T13:52:18.314322
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,See statute,Fee Structure,: Staff hourly rate for locating records,: Staff hourly rate for locating records,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.314336
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,See statute,Fee Structure,: Staff time for examining records and applying exemptions,: Staff time for examining records and applying exemptions,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.314341
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,See statute,Fee Structure,: Per-page charges for paper duplication,: Per-page charges for paper duplication,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.314345
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,See statute,Fee Structure,: Costs for electronic format conversion,: Costs for electronic format conversion,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.314351
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,See statute,Request Process,"### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate publi","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate public body
- Provide sufficient detail to identify records
- Include contact information for response
- Specify preferred format (paper, electronic)","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate public body
- Provide sufficient detail to identify records
- Include contact information for response
- Specify preferred format (paper, electronic)",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.314381
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,See statute,Request Process,"**Agency Actions:**
- Date-stamp request upon receipt
- Assign to appropriate custodian
- Begin 30-c","**Agency Actions:**
- Date-stamp request upon receipt
- Assign to appropriate custodian
- Begin 30-calendar-day countdown
- Send acknowledgment if required by agency policy","**Agency Actions:**
- Date-stamp request upon receipt
- Assign to appropriate custodian
- Begin 30-calendar-day countdown
- Send acknowledgment if required by agency policy",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.314383
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,See statute,Request Process,"### Phase 2: Processing
**Agency Actions:**
- Locate responsive records across departments
- Review ","### Phase 2: Processing
**Agency Actions:**
- Locate responsive records across departments
- Review records for applicable exemptions
- Redact protected information as required
- Calculate fees for search, review, and copying",No specific conditions stated,Extracted from Phase 2: Processing,2025-09-26T13:52:18.314405
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,See statute,Request Process,"**Timeline Management:**
- Monitor 30-calendar-day deadline
- Provide written notice if extension ne","**Timeline Management:**
- Monitor 30-calendar-day deadline
- Provide written notice if extension needed
- Communicate with requester about status and fees","**Timeline Management:**
- Monitor 30-calendar-day deadline
- Provide written notice if extension needed
- Communicate with requester about status and fees",Extracted from Phase 2: Processing,2025-09-26T13:52:18.314406
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,See statute,Response Timeline,"### Phase 3: Initial Response
**Agency Must Provide:**
- Written response within 30 calendar days
- ","### Phase 3: Initial Response
**Agency Must Provide:**
- Written response within 30 calendar days
- Access to public records or copies upon payment of fees
- Specific explanation for any denials with citation to exemption
- Information about appeal rights to MPIA Compliance Board","### Phase 3: Initial Response
**Agency Must Provide:**
- Written response within 30 calendar days
- Access to public records or copies upon payment of fees
- Specific explanation for any denials with citation to exemption
- Information about appeal rights to MPIA Compliance Board",Extracted from Phase 3: Initial Response,2025-09-26T13:52:18.314421
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,See statute,Appeal Rights,"### Phase 4: Appeal Process
**MPIA Compliance Board Appeal:**","### Phase 4: Appeal Process
**MPIA Compliance Board Appeal:**",No specific conditions stated,Extracted from Phase 4: Appeal Process,2025-09-26T13:52:18.314438
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,See statute,Appeal Rights,: Public Information Act Compliance Board,: Public Information Act Compliance Board,No specific conditions stated,Extracted from Phase 4: Appeal Process,2025-09-26T13:52:18.314443
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,See statute,Appeal Rights,: No specific statutory deadline for filing appeal,: No specific statutory deadline for filing appeal,: No specific statutory deadline for filing appeal,Extracted from Phase 4: Appeal Process,2025-09-26T13:52:18.314447
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,See statute,Appeal Rights,: Administrative review of denial or inadequate response,: Administrative review of denial or inadequate response,No specific conditions stated,Extracted from Phase 4: Appeal Process,2025-09-26T13:52:18.314454
Maryland,US-MD,Maryland Public Information Act (MPIA),Citation not found,See statute,Appeal Rights,: Board has discretion on review timeline,: Board has discretion on review timeline,No specific conditions stated,Extracted from Phase 4: Appeal Process,2025-09-26T13:52:18.314466
