jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
Michigan,US-MI,Michigan Freedom of Information Act,Citation not found,See statute,Response Timeline,### Standard Response Timeline (MCL 15.235),### Standard Response Timeline (MCL 15.235),No specific conditions stated,Extracted from Standard Response Timeline (MCL 15.235),2025-09-26T13:52:18.317700
Michigan,US-MI,Michigan Freedom of Information Act,Citation not found,See statute,Response Timeline,: Additional 10 business days with written justification,: Additional 10 business days with written justification,: Additional 10 business days with written justification,Extracted from Standard Response Timeline (MCL 15.235),2025-09-26T13:52:18.317709
Michigan,US-MI,Michigan Freedom of Information Act,Citation not found,See statute,Response Timeline,: Extended timeline with detailed explanation,: Extended timeline with detailed explanation,No specific conditions stated,Extracted from Standard Response Timeline (MCL 15.235),2025-09-26T13:52:18.317715
Michigan,US-MI,Michigan Freedom of Information Act,Citation not found,See statute,Response Timeline,: Additional time for fee calculation and approval,: Additional time for fee calculation and approval,No specific conditions stated,Extracted from Standard Response Timeline (MCL 15.235),2025-09-26T13:52:18.317720
Michigan,US-MI,Michigan Freedom of Information Act,Citation not found,See statute,Response Timeline,### 2025 Legislative/Executive Timeline Considerations,### 2025 Legislative/Executive Timeline Considerations,No specific conditions stated,Extracted from 2025 Legislative/Executive Timeline Considerations,2025-09-26T13:52:18.317735
Michigan,US-MI,Michigan Freedom of Information Act,Citation not found,See statute,Response Timeline,: Implementation of FOIA processes ongoing,: Implementation of FOIA processes ongoing,No specific conditions stated,Extracted from 2025 Legislative/Executive Timeline Considerations,2025-09-26T13:52:18.317740
Michigan,US-MI,Michigan Freedom of Information Act,Citation not found,See statute,Response Timeline,: Enhanced timelines during initial implementation,: Enhanced timelines during initial implementation,No specific conditions stated,Extracted from 2025 Legislative/Executive Timeline Considerations,2025-09-26T13:52:18.317744
Michigan,US-MI,Michigan Freedom of Information Act,Citation not found,See statute,Response Timeline,: Coordination between branches may extend processing,: Coordination between branches may extend processing,: Coordination between branches may extend processing,Extracted from 2025 Legislative/Executive Timeline Considerations,2025-09-26T13:52:18.317750
Michigan,US-MI,Michigan Freedom of Information Act,Citation not found,See statute,Response Timeline,: New exemption interpretations evolving,: New exemption interpretations evolving,No specific conditions stated,Extracted from 2025 Legislative/Executive Timeline Considerations,2025-09-26T13:52:18.317756
Michigan,US-MI,Michigan Freedom of Information Act,Citation not found,See statute,Request Process,"### Phase 1: Request Submission
**Requester Actions:**
- Submit written request (electronic or paper","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request (electronic or paper)
- Reasonably describe records sought
- Specify preferred format when applicable
- Include contact information for response","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request (electronic or paper)
- Reasonably describe records sought
- Specify preferred format when applicable
- Include contact information for response",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.317789
