jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
New York,US-NY,New York FOIL,Citation not found,§ 89(3),Response Timeline,### Standard Timeline (POL § 89(3)),### Standard Timeline (POL § 89(3)),No specific conditions stated,Extracted from Standard Timeline (POL § 89(3)),2025-09-26T13:52:18.332201
New York,US-NY,New York FOIL,Citation not found,§ 89(3),Response Timeline,": ""Reasonable time"" after determination to release",": ""Reasonable time"" after determination to release",No specific conditions stated,Extracted from Standard Timeline (POL § 89(3)),2025-09-26T13:52:18.332208
New York,US-NY,New York FOIL,Citation not found,§ 89(3),Response Timeline,": ""Reasonable"" additional time for voluminous/complex requests",": ""Reasonable"" additional time for voluminous/complex requests",No specific conditions stated,Extracted from Standard Timeline (POL § 89(3)),2025-09-26T13:52:18.332214
New York,US-NY,New York FOIL,Citation not found,See statute,Special Access,: Agencies may establish expedited procedures,: Agencies may establish expedited procedures,: Agencies may establish expedited procedures,Extracted from Expedited Processing,2025-09-26T13:52:18.332231
New York,US-NY,New York FOIL,Citation not found,See statute,Special Access,: Informal expedited processing sometimes available,: Informal expedited processing sometimes available,No specific conditions stated,Extracted from Expedited Processing,2025-09-26T13:52:18.332238
New York,US-NY,New York FOIL,Citation not found,See statute,Special Access,: Some agencies accommodate press deadlines,: Some agencies accommodate press deadlines,No specific conditions stated,Extracted from Expedited Processing,2025-09-26T13:52:18.332243
New York,US-NY,New York FOIL,Citation not found,§ 87(1),Fee Structure,### Allowable Fees (POL § 87(1)),### Allowable Fees (POL § 87(1)),No specific conditions stated,Extracted from Allowable Fees (POL § 87(1)),2025-09-26T13:52:18.332256
New York,US-NY,New York FOIL,Citation not found,§ 87(1),Fee Structure,: Reasonable certification fees,: Reasonable certification fees,: Reasonable certification fees,Extracted from Allowable Fees (POL § 87(1)),2025-09-26T13:52:18.332262
New York,US-NY,New York FOIL,Citation not found,§ 87(1),Fee Structure,: Actual cost of storage medium,: Actual cost of storage medium,No specific conditions stated,Extracted from Allowable Fees (POL § 87(1)),2025-09-26T13:52:18.332266
New York,US-NY,New York FOIL,Citation not found,§ 87(1),Fee Structure,: Actual mailing costs if requester requests mailing,: Actual mailing costs if requester requests mailing,: Actual mailing costs if requester requests mailing,Extracted from Allowable Fees (POL § 87(1)),2025-09-26T13:52:18.332270
New York,US-NY,New York FOIL,Citation not found,See statute,Request Process,"### Phase 1: Request Submission
**Requester Actions:**
- Submit written request (letter, email, fax ","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request (letter, email, fax acceptable)
- Reasonably describe records sought
- Specify preferred format if applicable
- Provide contact information","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request (letter, email, fax acceptable)
- Reasonably describe records sought
- Specify preferred format if applicable
- Provide contact information",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.332294
New York,US-NY,New York FOIL,Citation not found,See statute,Request Process,"**Agency Actions:**
- Date-stamp request upon receipt
- Assign tracking number (best practice)
- Beg","**Agency Actions:**
- Date-stamp request upon receipt
- Assign tracking number (best practice)
- Begin initial assessment of request scope",No specific conditions stated,Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.332295
