jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,Response Timeline,### Standard Response Timeline (ORC 149.43(B)),### Standard Response Timeline (ORC 149.43(B)),No specific conditions stated,Extracted from Standard Response Timeline (ORC 149.43(B)),2025-09-26T13:52:18.335389
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,Response Timeline,": ""Readily available"" records must be provided promptly",": ""Readily available"" records must be provided promptly",": ""Readily available"" records must be provided promptly",Extracted from Standard Response Timeline (ORC 149.43(B)),2025-09-26T13:52:18.335394
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,Response Timeline,": Other records within ""reasonable period""",": Other records within ""reasonable period""",No specific conditions stated,Extracted from Standard Response Timeline (ORC 149.43(B)),2025-09-26T13:52:18.335399
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,Response Timeline,": Statute uses flexible ""reasonable"" standard",": Statute uses flexible ""reasonable"" standard",No specific conditions stated,Extracted from Standard Response Timeline (ORC 149.43(B)),2025-09-26T13:52:18.335404
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,Response Timeline,: During normal operating hours,: During normal operating hours,No specific conditions stated,Extracted from Standard Response Timeline (ORC 149.43(B)),2025-09-26T13:52:18.335408
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,Request Process,"### Phase 1: Request Submission
**Requester Actions:**
- Submit request during business hours
- Reas","### Phase 1: Request Submission
**Requester Actions:**
- Submit request during business hours
- Reasonably identify records sought
- Oral or written request acceptable
- Specify inspection vs. copies","### Phase 1: Request Submission
**Requester Actions:**
- Submit request during business hours
- Reasonably identify records sought
- Oral or written request acceptable
- Specify inspection vs",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.335441
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,Request Process,"**Public Office Actions:**
- Acknowledge request (best practice)
- Begin search for responsive recor","**Public Office Actions:**
- Acknowledge request (best practice)
- Begin search for responsive records
- Determine if records are ""readily available""","**Public Office Actions:**
- Acknowledge request (best practice)
- Begin search for responsive records
- Determine if records are ""readily available""",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.335442
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,Response Timeline,"### Phase 2: Processing and Response
**Immediate Response Required:**
- ""Readily available"" records ","### Phase 2: Processing and Response
**Immediate Response Required:**
- ""Readily available"" records must be provided promptly
- Inspection permitted during business hours
- Cannot delay access without justification","### Phase 2: Processing and Response
**Immediate Response Required:**
- ""Readily available"" records must be provided promptly
- Inspection permitted during business hours
- Cannot delay access without justification",Extracted from Phase 2: Processing and Response,2025-09-26T13:52:18.335462
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,Response Timeline,"**Complex Request Processing:**
- Reasonable time allowed for extensive searches
- Regular communica","**Complex Request Processing:**
- Reasonable time allowed for extensive searches
- Regular communication with requester expected
- Fee estimates for copying provided",No specific conditions stated,Extracted from Phase 2: Processing and Response,2025-09-26T13:52:18.335463
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,General Rights,"### Phase 3: Production or Denial
**Record Production:**
- Provide for inspection immediately when p","### Phase 3: Production or Denial
**Record Production:**
- Provide for inspection immediately when possible
- Copies upon payment of fees
- Electronic format when reasonably available
- Redactions with specific exemption citations","### Phase 3: Production or Denial
**Record Production:**
- Provide for inspection immediately when possible
- Copies upon payment of fees
- Electronic format when reasonably available
- Redactions with specific exemption citations",Extracted from Phase 3: Production or Denial,2025-09-26T13:52:18.335482
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,General Rights,"**Denial Requirements:**
- Must cite specific statutory exemption
- Explain factual basis for denial","**Denial Requirements:**
- Must cite specific statutory exemption
- Explain factual basis for denial
- Inform of appeal/enforcement options","**Denial Requirements:**
- Must cite specific statutory exemption
- Explain factual basis for denial
- Inform of appeal/enforcement options",Extracted from Phase 3: Production or Denial,2025-09-26T13:52:18.335483
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,Appeal Rights,"### Phase 5: Judicial Enforcement
**After 2024 Pre-Litigation Process:**","### Phase 5: Judicial Enforcement
**After 2024 Pre-Litigation Process:**",No specific conditions stated,Extracted from Phase 5: Judicial Enforcement,2025-09-26T13:52:18.335497
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,Appeal Rights,: Public records cases receive priority,: Public records cases receive priority,No specific conditions stated,Extracted from Phase 5: Judicial Enforcement,2025-09-26T13:52:18.335506
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,Appeal Rights,: Available for substantially prevailing plaintiffs,: Available for substantially prevailing plaintiffs,: Available for substantially prevailing plaintiffs,Extracted from Phase 5: Judicial Enforcement,2025-09-26T13:52:18.335511
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,Fee Structure,"### Attorney Fees (ORC 149.43(C)(3))
**Entitlement Standards:**
- Requester substantially prevailed ","### Attorney Fees (ORC 149.43(C)(3))
**Entitlement Standards:**
- Requester substantially prevailed in litigation
- Public office's conduct was not substantially justified
- Fees are reasonable and necessary","### Attorney Fees (ORC 149.43(C)(3))
**Entitlement Standards:**
- Requester substantially prevailed in litigation
- Public office's conduct was not substantially justified
- Fees are reasonable and necessary",Extracted from Attorney Fees (ORC 149.43(C)(3)),2025-09-26T13:52:18.335539
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,Fee Structure,**Strategic Impact of 2024 Changes:**,**Strategic Impact of 2024 Changes:**,No specific conditions stated,Extracted from Attorney Fees (ORC 149.43(C)(3)),2025-09-26T13:52:18.335540
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,Fee Structure,: Pre-litigation process may reduce successful fee claims,: Pre-litigation process may reduce successful fee claims,: Pre-litigation process may reduce successful fee claims,Extracted from Attorney Fees (ORC 149.43(C)(3)),2025-09-26T13:52:18.335547
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,Fee Structure,: 30-day window encourages resolution,: 30-day window encourages resolution,No specific conditions stated,Extracted from Attorney Fees (ORC 149.43(C)(3)),2025-09-26T13:52:18.335554
Ohio,US-OH,Ohio Public Records Law,Citation not found,See statute,Fee Structure,: Enhanced record-keeping requirements,: Enhanced record-keeping requirements,No specific conditions stated,Extracted from Attorney Fees (ORC 149.43(C)(3)),2025-09-26T13:52:18.335559
