jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
Oklahoma,US-OK,Oklahoma Open Records Act,Citation not found,§ 24,Response Timeline,### Standard Timeline (Title 51 § 24A.5),### Standard Timeline (Title 51 § 24A.5),No specific conditions stated,Extracted from Standard Timeline (Title 51 § 24A.5),2025-09-26T13:52:18.336694
Oklahoma,US-OK,Oklahoma Open Records Act,Citation not found,§ 24,Response Timeline,": Must respond ""promptly"" without unreasonable delay",": Must respond ""promptly"" without unreasonable delay",": Must respond ""promptly"" without unreasonable delay",Extracted from Standard Timeline (Title 51 § 24A.5),2025-09-26T13:52:18.336701
Oklahoma,US-OK,Oklahoma Open Records Act,Citation not found,§ 24,Response Timeline,: Generally interpreted as 3-5 business days by courts,: Generally interpreted as 3-5 business days by courts,No specific conditions stated,Extracted from Standard Timeline (Title 51 § 24A.5),2025-09-26T13:52:18.336707
Oklahoma,US-OK,Oklahoma Open Records Act,Citation not found,§ 24,Response Timeline,":
  1",":
  1. Provide requested records for inspection or copying
  2. Deny request with written explanation citing specific exemption
  3. Notify requester of delay with estimated completion date","Deny request with written explanation citing specific exemption
  3 Notify requester of delay with estimated completion date",Extracted from Standard Timeline (Title 51 § 24A.5),2025-09-26T13:52:18.336717
Oklahoma,US-OK,Oklahoma Open Records Act,Citation not found,See statute,Special Access,: No formal expedited process in Oklahoma Open Records Act,: No formal expedited process in Oklahoma Open Records Act,No specific conditions stated,Extracted from Expedited Processing,2025-09-26T13:52:18.336735
Oklahoma,US-OK,Oklahoma Open Records Act,Citation not found,See statute,Special Access,: Some entities may prioritize urgent requests,: Some entities may prioritize urgent requests,: Some entities may prioritize urgent requests,Extracted from Expedited Processing,2025-09-26T13:52:18.336740
Oklahoma,US-OK,Oklahoma Open Records Act,Citation not found,See statute,Special Access,: Immediate response encouraged when records readily available,: Immediate response encouraged when records readily available,: Immediate response encouraged when records readily available,Extracted from Expedited Processing,2025-09-26T13:52:18.336746
Oklahoma,US-OK,Oklahoma Open Records Act,Citation not found,§ 24,Fee Structure,### Allowable Fees (Title 51 § 24A.8),### Allowable Fees (Title 51 § 24A.8),No specific conditions stated,Extracted from Allowable Fees (Title 51 § 24A.8),2025-09-26T13:52:18.336762
Oklahoma,US-OK,Oklahoma Open Records Act,Citation not found,§ 24,Fee Structure,: May charge for actual cost of copying records,: May charge for actual cost of copying records,: May charge for actual cost of copying records,Extracted from Allowable Fees (Title 51 § 24A.8),2025-09-26T13:52:18.336767
Oklahoma,US-OK,Oklahoma Open Records Act,Citation not found,§ 24,Fee Structure,: Cannot charge for inspection or review of records,: Cannot charge for inspection or review of records,No specific conditions stated,Extracted from Allowable Fees (Title 51 § 24A.8),2025-09-26T13:52:18.336772
Oklahoma,US-OK,Oklahoma Open Records Act,Citation not found,§ 24,Fee Structure,: All fees must be reasonable and directly related to duplication,: All fees must be reasonable and directly related to duplication,: All fees must be reasonable and directly related to duplication,Extracted from Allowable Fees (Title 51 § 24A.8),2025-09-26T13:52:18.336778
Oklahoma,US-OK,Oklahoma Open Records Act,Citation not found,§ 24,Fee Structure,": Paper, electronic media, postage costs",": Paper, electronic media, postage costs",No specific conditions stated,Extracted from Allowable Fees (Title 51 § 24A.8),2025-09-26T13:52:18.336783
Oklahoma,US-OK,Oklahoma Open Records Act,Citation not found,See statute,Fee Structure,: Per-page charges for paper duplication,: Per-page charges for paper duplication,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.336796
Oklahoma,US-OK,Oklahoma Open Records Act,Citation not found,See statute,Fee Structure,": Cost of disks, drives, or other electronic storage",": Cost of disks, drives, or other electronic storage",No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.336801
Oklahoma,US-OK,Oklahoma Open Records Act,Citation not found,See statute,Fee Structure,: Actual cost of mailing records to requester,: Actual cost of mailing records to requester,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.336806
Oklahoma,US-OK,Oklahoma Open Records Act,Citation not found,See statute,Fee Structure,: Cannot charge for staff time to locate records,: Cannot charge for staff time to locate records,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.336811
Oklahoma,US-OK,Oklahoma Open Records Act,Citation not found,See statute,Request Process,"### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate publi","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate public body
- Provide sufficient detail to identify records
- Include contact information for response
- Specify preferred format (inspection, paper copies, electronic)","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate public body
- Provide sufficient detail to identify records
- Include contact information for response
- Specify preferred format (inspection, paper copies, electronic)",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.336839
