jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
South Dakota,US-SD,South Dakota Open Records Law,Citation not found,§ 1-27-1,Response Timeline,### Standard Timeline (SDCL § 1-27-1.5),### Standard Timeline (SDCL § 1-27-1.5),No specific conditions stated,Extracted from Standard Timeline (SDCL § 1271.5),2025-09-26T13:52:18.345907
South Dakota,US-SD,South Dakota Open Records Law,Citation not found,§ 1-27-1,Response Timeline,: Reasonable time from receipt of request,: Reasonable time from receipt of request,No specific conditions stated,Extracted from Standard Timeline (SDCL § 1271.5),2025-09-26T13:52:18.345915
South Dakota,US-SD,South Dakota Open Records Law,Citation not found,§ 1-27-1,Response Timeline,": Request complexity, volume, agency resources",": Request complexity, volume, agency resources",No specific conditions stated,Extracted from Standard Timeline (SDCL § 1271.5),2025-09-26T13:52:18.345921
South Dakota,US-SD,South Dakota Open Records Law,Citation not found,§ 1-27-1,Response Timeline,":
  1",":
  1. Provide requested records for inspection or copying
  2. Deny request with written explanation citing specific exemption
  3. Provide partial records with explanation for any withholding","Deny request with written explanation citing specific exemption
  3",Extracted from Standard Timeline (SDCL § 1271.5),2025-09-26T13:52:18.345935
South Dakota,US-SD,South Dakota Open Records Law,Citation not found,§ 1-27-35,Fee Structure,### Allowable Fees (SDCL § 1-27-35),### Allowable Fees (SDCL § 1-27-35),No specific conditions stated,Extracted from Allowable Fees (SDCL § 12735),2025-09-26T13:52:18.345952
South Dakota,US-SD,South Dakota Open Records Law,Citation not found,§ 1-27-35,Fee Structure,: Fees limited to reasonable costs of copying and preparation,: Fees limited to reasonable costs of copying and preparation,: Fees limited to reasonable costs of copying and preparation,Extracted from Allowable Fees (SDCL § 12735),2025-09-26T13:52:18.345957
South Dakota,US-SD,South Dakota Open Records Law,Citation not found,§ 1-27-35,Fee Structure,: Direct costs of duplication and staff time,: Direct costs of duplication and staff time,No specific conditions stated,Extracted from Allowable Fees (SDCL § 12735),2025-09-26T13:52:18.345961
South Dakota,US-SD,South Dakota Open Records Law,Citation not found,§ 1-27-35,Fee Structure,": Paper, electronic media, postage costs",": Paper, electronic media, postage costs",No specific conditions stated,Extracted from Allowable Fees (SDCL § 12735),2025-09-26T13:52:18.345966
South Dakota,US-SD,South Dakota Open Records Law,Citation not found,See statute,General Rights,: Mandamus and injunctive relief,: Mandamus and injunctive relief,No specific conditions stated,Extracted from Judicial Remedies,2025-09-26T13:52:18.345986
South Dakota,US-SD,South Dakota Open Records Law,Citation not found,See statute,General Rights,: Potential recovery for successful enforcement,: Potential recovery for successful enforcement,No specific conditions stated,Extracted from Judicial Remedies,2025-09-26T13:52:18.345992
