jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
Washington,US-WA,Washington Public Records Act,Citation not found,See statute,Response Timeline,### Standard Response Timeline (RCW 42.56.520),### Standard Response Timeline (RCW 42.56.520),No specific conditions stated,Extracted from Standard Response Timeline (RCW 42.56.520),2025-09-26T13:52:18.357929
Washington,US-WA,Washington Public Records Act,Citation not found,See statute,Response Timeline,": ""Additional time as reasonably necessary""",": ""Additional time as reasonably necessary""",No specific conditions stated,Extracted from Standard Response Timeline (RCW 42.56.520),2025-09-26T13:52:18.357935
Washington,US-WA,Washington Public Records Act,Citation not found,See statute,Response Timeline,: Required if processing extends beyond initial estimate,: Required if processing extends beyond initial estimate,: Required if processing extends beyond initial estimate,Extracted from Standard Response Timeline (RCW 42.56.520),2025-09-26T13:52:18.357939
Washington,US-WA,Washington Public Records Act,Citation not found,See statute,Response Timeline,": But must be ""reasonable"" under circumstances",": But must be ""reasonable"" under circumstances",": But must be ""reasonable"" under circumstances",Extracted from Standard Response Timeline (RCW 42.56.520),2025-09-26T13:52:18.357943
Washington,US-WA,Washington Public Records Act,Citation not found,See statute,Special Access,: Agencies may establish expedited procedures,: Agencies may establish expedited procedures,: Agencies may establish expedited procedures,Extracted from Expedited Processing,2025-09-26T13:52:18.357958
Washington,US-WA,Washington Public Records Act,Citation not found,See statute,Special Access,: Some agencies accommodate emergency requests,: Some agencies accommodate emergency requests,No specific conditions stated,Extracted from Expedited Processing,2025-09-26T13:52:18.357962
Washington,US-WA,Washington Public Records Act,Citation not found,See statute,Special Access,: Limited informal accommodation available,: Limited informal accommodation available,No specific conditions stated,Extracted from Expedited Processing,2025-09-26T13:52:18.357967
Washington,US-WA,Washington Public Records Act,Citation not found,See statute,Request Process,"### Phase 1: Request Submission
**Requester Actions:**
- Submit written request (email acceptable)
-","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request (email acceptable)
- Reasonably identify records sought
- Specify preferred format
- Provide contact information","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request (email acceptable)
- Reasonably identify records sought
- Specify preferred format
- Provide contact information",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.357994
Washington,US-WA,Washington Public Records Act,Citation not found,See statute,Request Process,"**Agency Actions:**
- Date-stamp request upon receipt
- Forward to Public Records Officer
- Begin in","**Agency Actions:**
- Date-stamp request upon receipt
- Forward to Public Records Officer
- Begin initial assessment of scope
- Send acknowledgment within 5 days",No specific conditions stated,Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.357995
Washington,US-WA,Washington Public Records Act,Citation not found,See statute,Request Process,"### Phase 2: Processing and Assessment
**Public Records Officer Duties:**
- Identify and locate resp","### Phase 2: Processing and Assessment
**Public Records Officer Duties:**
- Identify and locate responsive records
- Review for applicable exemptions
- Estimate processing time and costs
- Coordinate with legal counsel if needed","### Phase 2: Processing and Assessment
**Public Records Officer Duties:**
- Identify and locate responsive records
- Review for applicable exemptions
- Estimate processing time and costs
- Coordinate with legal counsel if needed",Extracted from Phase 2: Processing and Assessment,2025-09-26T13:52:18.358013
Washington,US-WA,Washington Public Records Act,Citation not found,See statute,Request Process,"**5-Day Initial Response:**
- Provide immediately available records
- Estimate timeline for remainin","**5-Day Initial Response:**
- Provide immediately available records
- Estimate timeline for remaining records
- Identify any exempt materials
- Request clarification if needed","**5-Day Initial Response:**
- Provide immediately available records
- Estimate timeline for remaining records
- Identify any exempt materials
- Request clarification if needed",Extracted from Phase 2: Processing and Assessment,2025-09-26T13:52:18.358014
Washington,US-WA,Washington Public Records Act,Citation not found,See statute,General Rights,"### Phase 3: Production and Communication
**Ongoing Production:**
- Provide records as they become a","### Phase 3: Production and Communication
**Ongoing Production:**
- Provide records as they become available
- Regular status updates for long-term requests
- Electronic format preference honored
- Clear explanation of any redactions",No specific conditions stated,Extracted from Phase 3: Production and Communication,2025-09-26T13:52:18.358032
Washington,US-WA,Washington Public Records Act,Citation not found,See statute,General Rights,: Keep requester informed of progress,: Keep requester informed of progress,No specific conditions stated,Extracted from Phase 3: Production and Communication,2025-09-26T13:52:18.358037
Washington,US-WA,Washington Public Records Act,Citation not found,See statute,General Rights,: Records provided in batches as available,: Records provided in batches as available,No specific conditions stated,Extracted from Phase 3: Production and Communication,2025-09-26T13:52:18.358047
Washington,US-WA,Washington Public Records Act,Citation not found,See statute,Fee Structure,"### Attorney Fees (RCW 42.56.550)
**Entitlement Standards:**
- Requester substantially prevailed
- R","### Attorney Fees (RCW 42.56.550)
**Entitlement Standards:**
- Requester substantially prevailed
- Records obtained through litigation
- Agency denial not substantially justified","### Attorney Fees (RCW 42.56.550)
**Entitlement Standards:**
- Requester substantially prevailed
- Records obtained through litigation
- Agency denial not substantially justified",Extracted from Attorney Fees (RCW 42.56.550),2025-09-26T13:52:18.358075
Washington,US-WA,Washington Public Records Act,Citation not found,See statute,Fee Structure,"**Fee Calculation:**
- Reasonable hourly rates for qualified counsel
- Hours reasonably expended on ","**Fee Calculation:**
- Reasonable hourly rates for qualified counsel
- Hours reasonably expended on case
- Costs and expenses incurred
- Strong incentive for agency compliance","**Fee Calculation:**
- Reasonable hourly rates for qualified counsel
- Hours reasonably expended on case
- Costs and expenses incurred
- Strong incentive for agency compliance",Extracted from Attorney Fees (RCW 42.56.550),2025-09-26T13:52:18.358076
