jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
Wyoming,US-WY,Wyoming Public Records Act,Citation not found,"Wyo. Stat. § 16-4-204, § 16-4-204",Fee Structure,### Allowable Fees (Wyo,### Allowable Fees (Wyo. Stat. § 16-4-204),No specific conditions stated,Extracted from Allowable Fees (Wyo. Stat. § 164204),2025-09-26T13:52:18.362298
Wyoming,US-WY,Wyoming Public Records Act,Citation not found,"Wyo. Stat. § 16-4-204, § 16-4-204",Fee Structure,: Fees limited to actual cost of duplication and retrieval,: Fees limited to actual cost of duplication and retrieval,: Fees limited to actual cost of duplication and retrieval,Extracted from Allowable Fees (Wyo. Stat. § 164204),2025-09-26T13:52:18.362304
Wyoming,US-WY,Wyoming Public Records Act,Citation not found,"Wyo. Stat. § 16-4-204, § 16-4-204",Fee Structure,: All fees must be reasonable and reflect actual expenses,: All fees must be reasonable and reflect actual expenses,: All fees must be reasonable and reflect actual expenses,Extracted from Allowable Fees (Wyo. Stat. § 164204),2025-09-26T13:52:18.362309
Wyoming,US-WY,Wyoming Public Records Act,Citation not found,"Wyo. Stat. § 16-4-204, § 16-4-204",Fee Structure,": Direct costs of copying, labor, and materials",": Direct costs of copying, labor, and materials",No specific conditions stated,Extracted from Allowable Fees (Wyo. Stat. § 164204),2025-09-26T13:52:18.362314
Wyoming,US-WY,Wyoming Public Records Act,Citation not found,"Wyo. Stat. § 16-4-204, § 16-4-204",Fee Structure,: Should notify requester of anticipated costs,: Should notify requester of anticipated costs,: Should notify requester of anticipated costs,Extracted from Allowable Fees (Wyo. Stat. § 164204),2025-09-26T13:52:18.362319
Wyoming,US-WY,Wyoming Public Records Act,Citation not found,See statute,Fee Structure,: Per-page charges for paper duplication,: Per-page charges for paper duplication,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.362332
Wyoming,US-WY,Wyoming Public Records Act,Citation not found,See statute,Fee Structure,": Cost of disks, drives, or other electronic storage",": Cost of disks, drives, or other electronic storage",No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.362337
Wyoming,US-WY,Wyoming Public Records Act,Citation not found,See statute,Fee Structure,: Reasonable charges for locating and preparing records,: Reasonable charges for locating and preparing records,No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.362342
Wyoming,US-WY,Wyoming Public Records Act,Citation not found,See statute,Fee Structure,": Paper, supplies, postage costs",": Paper, supplies, postage costs",No specific conditions stated,Extracted from Fee Schedule Components,2025-09-26T13:52:18.362347
Wyoming,US-WY,Wyoming Public Records Act,Citation not found,See statute,Request Process,"### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate gover","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate government agency
- Provide sufficient detail to identify records
- Include contact information for response
- Specify preferred format (inspection, copies, electronic)","### Phase 1: Request Submission
**Requester Actions:**
- Submit written request to appropriate government agency
- Provide sufficient detail to identify records
- Include contact information for response
- Specify preferred format (inspection, copies, electronic)",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.362373
Wyoming,US-WY,Wyoming Public Records Act,Citation not found,See statute,Request Process,"**Agency Actions:**
- Date-stamp request upon receipt
- Assign to appropriate custodian
- Begin prom","**Agency Actions:**
- Date-stamp request upon receipt
- Assign to appropriate custodian
- Begin prompt response assessment
- Acknowledge receipt if agency policy requires","**Agency Actions:**
- Date-stamp request upon receipt
- Assign to appropriate custodian
- Begin prompt response assessment
- Acknowledge receipt if agency policy requires",Extracted from Phase 1: Request Submission,2025-09-26T13:52:18.362374
Wyoming,US-WY,Wyoming Public Records Act,Citation not found,"§ 16-4-205, Wyo. Stat. § 16-4-205",Request Process,"### Phase 2: Processing
**Agency Actions:**
- Locate responsive records across departments
- Review ","### Phase 2: Processing
**Agency Actions:**
- Locate responsive records across departments
- Review records for applicable exemptions under Wyo. Stat. § 16-4-205
- Separate public records from exempt records
- Calculate reasonable fees for duplication and retrieval",No specific conditions stated,Extracted from Phase 2: Processing,2025-09-26T13:52:18.362408
Wyoming,US-WY,Wyoming Public Records Act,Citation not found,"§ 16-4-205, Wyo. Stat. § 16-4-205",Request Process,"**Timeline Management:**
- Assess complexity and determine reasonable response time
- Consider 2025 ","**Timeline Management:**
- Assess complexity and determine reasonable response time
- Consider 2025 legislative review expectations
- Communicate with requester about expected timeline
- Document processing efforts",No specific conditions stated,Extracted from Phase 2: Processing,2025-09-26T13:52:18.362409
Wyoming,US-WY,Wyoming Public Records Act,Citation not found,See statute,Response Timeline,"### Phase 3: Response
**Agency Must Provide:**
- Access to public records for inspection
- Copies of","### Phase 3: Response
**Agency Must Provide:**
- Access to public records for inspection
- Copies of records upon payment of reasonable fees
- Written denial with specific exemption cited
- Clear explanation for any delays or partial responses","### Phase 3: Response
**Agency Must Provide:**
- Access to public records for inspection
- Copies of records upon payment of reasonable fees
- Written denial with specific exemption cited
- Clear explanation for any delays or partial responses",Extracted from Phase 3: Response,2025-09-26T13:52:18.362421
Wyoming,US-WY,Wyoming Public Records Act,Citation not found,See statute,Appeal Rights,"### Phase 5: Legal Enforcement
**District Court Action:**","### Phase 5: Legal Enforcement
**District Court Action:**",No specific conditions stated,Extracted from Phase 5: Legal Enforcement,2025-09-26T13:52:18.362436
Wyoming,US-WY,Wyoming Public Records Act,Citation not found,See statute,Appeal Rights,: Wyoming district court where agency located,: Wyoming district court where agency located,No specific conditions stated,Extracted from Phase 5: Legal Enforcement,2025-09-26T13:52:18.362441
Wyoming,US-WY,Wyoming Public Records Act,Citation not found,See statute,Appeal Rights,: Court may order compliance with Public Records Act,: Court may order compliance with Public Records Act,: Court may order compliance with Public Records Act,Extracted from Phase 5: Legal Enforcement,2025-09-26T13:52:18.362446
