jurisdiction_name,jurisdiction_code,law_name,statute_citation,section_reference,category,subcategory,description,conditions,notes,extraction_date
Federal,US-FED,Federal FOIA,Citation not found,5 U.S.C. § 552(b)(1),Statutory Exemption,Federal FOIA Exemption (b)(1),National Defense/Foreign Policy (classified),National Defense/Foreign Policy (classified),Federal FOIA exemption 1,2025-09-26T13:52:18.281823
Federal,US-FED,Federal FOIA,Citation not found,5 U.S.C. § 552(b)(2),Statutory Exemption,Federal FOIA Exemption (b)(2),Internal Agency Rules/Practices,No specific conditions stated,Federal FOIA exemption 2,2025-09-26T13:52:18.281828
Federal,US-FED,Federal FOIA,Citation not found,5 U.S.C. § 552(b)(3),Statutory Exemption,Federal FOIA Exemption (b)(3),Information Exempted by Other Statutes,No specific conditions stated,Federal FOIA exemption 3,2025-09-26T13:52:18.281832
Federal,US-FED,Federal FOIA,Citation not found,5 U.S.C. § 552(b)(4),Statutory Exemption,Federal FOIA Exemption (b)(4),Trade Secrets/Commercial Information,No specific conditions stated,Federal FOIA exemption 4,2025-09-26T13:52:18.281835
Federal,US-FED,Federal FOIA,Citation not found,5 U.S.C. § 552(b)(5),Statutory Exemption,Federal FOIA Exemption (b)(5),Inter-agency/Intra-agency Communications (deliberative process),No specific conditions stated,Federal FOIA exemption 5,2025-09-26T13:52:18.281839
Federal,US-FED,Federal FOIA,Citation not found,5 U.S.C. § 552(b)(6),Statutory Exemption,Federal FOIA Exemption (b)(6),Personal Privacy,No specific conditions stated,Federal FOIA exemption 6,2025-09-26T13:52:18.281842
Federal,US-FED,Federal FOIA,Citation not found,5 U.S.C. § 552(b)(7),Statutory Exemption,Federal FOIA Exemption (b)(7),Law Enforcement Records,No specific conditions stated,Federal FOIA exemption 7,2025-09-26T13:52:18.281844
Federal,US-FED,Federal FOIA,Citation not found,5 U.S.C. § 552(b)(8),Statutory Exemption,Federal FOIA Exemption (b)(8),Financial Institution Records,No specific conditions stated,Federal FOIA exemption 8,2025-09-26T13:52:18.281847
Federal,US-FED,Federal FOIA,Citation not found,5 U.S.C. § 552(b)(9),Statutory Exemption,Federal FOIA Exemption (b)(9),Geological Information,No specific conditions stated,Federal FOIA exemption 9,2025-09-26T13:52:18.281850
Alabama,US-AL,Alabama Public Records Law,Citation not found,See exemptions,Statutory Exemption,Other Exemption,and based on actual costs,No specific conditions stated,Exemption type: Must be reasonable,2025-09-26T13:52:18.283554
Alabama,US-AL,Alabama Public Records Law,Citation not found,See exemptions,Statutory Exemption,Other Exemption,or designed to discourage requests,No specific conditions stated,Exemption type: Cannot be punitive,2025-09-26T13:52:18.283563
Alabama,US-AL,Alabama Public Records Law,Citation not found,See exemptions,Statutory Exemption,Other Exemption,provided,No specific conditions stated,Exemption type: No specific statutory fee schedule,2025-09-26T13:52:18.283570
Alabama,US-AL,Alabama Public Records Law,Citation not found,See exemptions,Statutory Exemption,Other Exemption,- **Must be reasonable** and based on actual costs,- **Must be reasonable** and based on actual costs,From section: Fee Limitations,2025-09-26T13:52:18.283600
Alabama,US-AL,Alabama Public Records Law,Citation not found,See exemptions,Statutory Exemption,Other Exemption,**Cannot be punitive** or designed to discourage requests,No specific conditions stated,From section: Fee Limitations,2025-09-26T13:52:18.283603
Alabama,US-AL,Alabama Public Records Law,Citation not found,See exemptions,Statutory Exemption,Other Exemption,"**No specific statutory fee schedule** provided

---","**No specific statutory fee schedule** provided

---",From section: Fee Limitations,2025-09-26T13:52:18.283606
Alabama,US-AL,Alabama Public Records Law,Citation not found,See exemptions,Statutory Exemption,Law Enforcement,Sensitive investigatory materials,No specific conditions stated,Exemption type: Law enforcement,2025-09-26T13:52:18.283620
Alabama,US-AL,Alabama Public Records Law,Citation not found,See exemptions,Statutory Exemption,Personal Privacy,Personal information not related to public business,No specific conditions stated,Exemption type: Privacy,2025-09-26T13:52:18.283625
Alabama,US-AL,Alabama Public Records Law,Citation not found,See exemptions,Statutory Exemption,Security Information,Information that could compromise public safety,No specific conditions stated,Exemption type: Security,2025-09-26T13:52:18.283632
Alabama,US-AL,Alabama Public Records Law,Citation not found,See exemptions,Statutory Exemption,Attorney-Client Privilege,Attorney-client privileged communications,No specific conditions stated,Exemption type: Legal,2025-09-26T13:52:18.283637
Alabama,US-AL,Alabama Public Records Law,Citation not found,See exemptions,Statutory Exemption,Law Enforcement,- **Law enforcement**: Sensitive investigatory materials,No specific conditions stated,From section: Protected Information,2025-09-26T13:52:18.283646
Alabama,US-AL,Alabama Public Records Law,Citation not found,See exemptions,Statutory Exemption,Law Enforcement,**Privacy**: Personal information not related to public business,No specific conditions stated,From section: Protected Information,2025-09-26T13:52:18.283649
Alabama,US-AL,Alabama Public Records Law,Citation not found,See exemptions,Statutory Exemption,Law Enforcement,**Security**: Information that could compromise public safety,No specific conditions stated,From section: Protected Information,2025-09-26T13:52:18.283654
Alabama,US-AL,Alabama Public Records Law,Citation not found,See exemptions,Statutory Exemption,Law Enforcement,**Legal**: Attorney-client privileged communications,No specific conditions stated,From section: Protected Information,2025-09-26T13:52:18.283656
