state,type,severity,description,mechanism
01,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"---

## Fee Structure

### Fee Categories (5 U.S.C. § 552(a)(4)(A))
1. **Commercial Requesters**: All allowable fees
2. **Educational/Scientific/Media**: Duplication fees only (first 100 pages free)
3. **All Other Requesters**: Search and duplication fees (first 2 hours search + 100 pages free)

### Allowable Fees
- **Search Fees**: Time spent looking for records
- **Review Fees**: Time spent examining records for exemptions (commercial only)"
01,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
01,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"### Allowable Fees
- **Search Fees**: Time spent looking for records
- **Review Fees**: Time spent examining records for exemptions (commercial only)
- **Duplication Fees**: Cost of copying records
- **Processing Fees**: Technical costs for electronic records

### Fee Waivers
- **Standard**: Public interest significantly greater than commercial interest
- **Poverty Fee Waiver**: Requesters who cannot afford fees

---
"
Alabama,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"---

## Fee Structure

### **Permitted Charges**
- **Copying Costs**: Actual cost of duplication
- **Reasonable Fees**: Must be tied to fulfillment costs
- **Electronic Records**: Same fee standards as paper records

### **Fee Limitations**
- **Must be reasonable** and based on actual costs
- **Cannot be punitive** or designed to discourage requests"
Alabama,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"---

## Exemptions and Limitations

### **Protected Information**
- **Law enforcement**: Sensitive investigatory materials
- **Privacy**: Personal information not related to public business
- **Security**: Information that could compromise public safety
- **Legal**: Attorney-client privileged communications

### **Electronic Records Scope**
- **Included**: Text messages, emails related to public business"
Alabama,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Alaska,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - AS § 40.25.110: Definitions and legislative intent
  - AS § 40.25.110-122: Public access rights and procedures
  - AS § 40.25.120: Fee provisions
  - AS § 40.25.120: Exemptions from disclosure

### Definitions
- **Public Agency**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any item, regardless of format, that documents the transaction of public business
- **Business Days**: Monday through Friday, excluding state holidays
- **C"
Alaska,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - AS § 40.25.110-122: Public access rights and procedures
  - AS § 40.25.120: Fee provisions
  - AS § 40.25.120: Exemptions from disclosure

### Definitions
- **Public Agency**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any item, regardless of format, that documents the transaction of public business
- **Business Days**: Monday through Friday, excluding state holidays
- **Custodian**: Official designated to maintain and provide"
Alaska,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Arizona,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"**VERIFICATION DATE**: September 18, 2025  
**VERIFICATION SOURCE**: Dual-source validation using ARS § 39-121 and court decisions  
**LAST STATUTORY UPDATE**: 2023 (HB 2568 - electronic records and fee limitations)

---

## Legal Framework

### Primary Statute
- **Arizona Public Records Law**: Arizona Revised Statutes § 39-121 et seq.
- **Original Enactment**: 1962
- **Major Revision**: 2012 (comprehensive reform)"
Arizona,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"- Make records available for inspection
- Provide copies upon payment of fees
- Deny with specific exemption citations
- Respond within reasonable time

---

## Fee Structure

### Allowable Charges (ARS § 39-121.03)
- **Copying Costs**: Actual cost of reproduction
- **Personnel Time**: For extensive searches only"
Arizona,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Promptly (vague)
Arkansas,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"**Internal Process:**
- Discuss concerns with custodian or agency head
- Request clarification of exemption claims or timeline
- Negotiate scope or format to reduce costs
- Request fee waiver if applicable criteria met

**Documentation:**
- Preserve all communications with agency
- Document any improper fee charges or unreasonable delays
- Maintain evidence of public interest in disclosure
- Note any pattern of non-compliance for potential penalties
"
Arkansas,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - Ark. Code § 25-19-104: Public access rights
  - Ark. Code § 25-19-105: Response timeline and enforcement
  - Ark. Code § 25-19-106: Fee provisions
  - Ark. Code § 25-19-107: Exemptions from disclosure

### **CRITICAL 2025 UPDATES**
- **Act 505 (2025)**: ""Arkansas Freedom of Information Act Amendments""
- **Act 922 (2025)**: ""Public Records Enhancement Act""
- **Key Changes**:
  - Clarified definitions for public meetings and communications
  - Strengthened prohibitions on informal deliberation"
Arkansas,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - Ark. Code § 25-19-105: Response timeline and enforcement
  - Ark. Code § 25-19-106: Fee provisions
  - Ark. Code § 25-19-107: Exemptions from disclosure

### **CRITICAL 2025 UPDATES**
- **Act 505 (2025)**: ""Arkansas Freedom of Information Act Amendments""
- **Act 922 (2025)**: ""Public Records Enhancement Act""
- **Key Changes**:
  - Clarified definitions for public meetings and communications
  - Strengthened prohibitions on informal deliberations (""polling"")
  - Enhanced civil penalties for v"
Arkansas,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Promptly (vague)
COMPREHENSIVE,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"- **Injunctive Relief**: Ongoing compliance orders
- **Attorney Fees**: Recovery possible for successful enforcement
- **Declaratory Judgment**: Clarification of FOIA obligations

---

## Classification System and Exemptions

### General Exemptions (DC Code § 2-534)
**Personal Privacy**: Information constituting clearly unwarranted invasion of personal privacy
**Law Enforcement**: Records compiled for law enforcement purposes
**National Security**: Information affecting national defense or forei"
COMPREHENSIVE,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"---

## Fee Structure

### Fee Categories (5 U.S.C. § 552(a)(4)(A))
1. **Commercial Requesters**: All allowable fees
2. **Educational/Scientific/Media**: Duplication fees only (first 100 pages free)
3. **All Other Requesters**: Search and duplication fees (first 2 hours search + 100 pages free)

### Allowable Fees
- **Search Fees**: Time spent looking for records
- **Review Fees**: Time spent examining records for exemptions (commercial only)"
COMPREHENSIVE,Programming Time Charges,MEDIUM,Allows charging for technical work with subjective billing,Can inflate costs by claiming simple requests require programming
COMPREHENSIVE,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
COMPREHENSIVE,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"
## DOCUMENT PURPOSE AND SCOPE
This master document contains the **COMPLETE CONTENT** from all verified process maps for Freedom of Information Act (FOIA) and public records laws across all 51 U.S. jurisdictions (50 states plus District of Columbia and Federal). This comprehensive reference preserves all content from individual process maps without summarization, maintaining all formatting, sections, details, exemptions, enforcement mechanisms, recent developments, strategic recommendations, and"
California,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"---

## Fee Structure

### Allowable Costs (Gov. Code § 7922.570)
- **Direct Cost of Duplication**: Actual reproduction costs only
- **No Search Fees**: Prohibited for standard requests
- **Electronic Records**: Cost of copying to electronic medium
- **Customized Programming**: May charge for specialized database queries

### Fee Limitations
- **$25 Threshold**: No fees charged if duplication costs under $25"
California,Programming Time Charges,MEDIUM,Allows charging for technical work with subjective billing,Can inflate costs by claiming simple requests require programming
California,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
California,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"- **Indigent Requesters**: Fee waiver for those unable to pay
- **Public Interest**: Discretionary waiver when release serves broad public interest
- **News Media**: No special exemption but may qualify for public interest waiver

---

## Standard Process Flow

### Phase 1: Request Submission
**Requester Actions:**
- Submit request in writing (email acceptable)
- Reasonably describe records sought"
